gene_id,gene_name,essential_status,phenotype_summary,evidence_count,source_file
S000000001,S000000001,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000002,VPS8,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000003,S000000003,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000004,SSA1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000005,ERP2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000006,FUN14,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000007,SPO7,Ambiguous,null | viable ; null | desiccation resistance: decreased | stationary | desiccated (14days) | viability of the stationary-phase null mutant desiccated for 14 days is much lower than that of wt cells but higher than that of a pah1 null mutant,2,./data\raw\sgd\phenotype_data.tab
S000000008,MDM10,Ambiguous,"null | viability: decreased | N-acetylsphingosine (40uM) | clonogenic survival, the ratio of the number of CFUs after C2-CER treatment in null cells vs parental controls, is decreased ; null | viable",2,./data\raw\sgd\phenotype_data.tab
S000000009,SWC3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000010,CYS3,Ambiguous,null | viable ; null | inviable,4,./data\raw\sgd\phenotype_data.tab
S000000011,DEP1,Ambiguous,"unspecified | viability: decreased | 50% reduction in viability at late stationary phase ; null | viable ; null | resistance to chemicals: decreased | tannic acid (400µM) | YPD | decreased survival on sub-lethal levels of the polyphenol, tannic acid",3,./data\raw\sgd\phenotype_data.tab
S000000012,SYN8,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000013,NTG1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000014,TPD3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000015,PSK1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000016,LDS1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000017,FUN30,Ambiguous,overexpression | viability: decreased ; null | viable,4,./data\raw\sgd\phenotype_data.tab
S000000018,ATS1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000019,CCR4,Unknown,null | viable,3,./data\raw\sgd\phenotype_data.tab
S000000020,FUN26,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000021,PMT2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000022,LTE1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000023,MAK16,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000024,DRS2,Ambiguous,null | viable ; null | resistance to chemicals: decreased | oxalic acid (30mM) | inviable after 3 day exposure ; null | resistance to chemicals: decreased | propionic acid (30mM) | inviable after 3 day exposure,4,./data\raw\sgd\phenotype_data.tab
S000000025,SAW1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000026,FRT2,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000027,MYO4,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000028,S000000028,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000029,GIP4,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000030,PRP45,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000031,POP5,Essential,null | inviable,3,./data\raw\sgd\phenotype_data.tab
