scenario_index,model_key,alpha,p_event,seed,gate_passing_trajectories,common_rarefied_depth,provenance_unique_endpoints,unlabeled_topology_unique_endpoints,unique_inflation_ratio,provenance_effective_shannon,unlabeled_topology_effective_shannon,effective_shannon_inflation_ratio,copy_identity_normalized_unique_endpoints,copy_identity_unique_inflation_ratio,copy_identity_normalized_effective_shannon,copy_identity_effective_shannon_inflation_ratio,reference_alias_normalized_unique_endpoints,reference_alias_unique_inflation_ratio,reference_alias_normalized_effective_shannon,reference_alias_effective_shannon_inflation_ratio,provenance_inverse_simpson,unlabeled_topology_inverse_simpson,provenance_rarefied_effective_shannon_mean,unlabeled_topology_rarefied_effective_shannon_mean,paired_rarefied_effective_shannon_inflation_mean,paired_rarefied_effective_shannon_inflation_ci_low,paired_rarefied_effective_shannon_inflation_ci_high,copy_identity_normalized_rarefied_effective_shannon_mean,copy_identity_paired_rarefied_inflation_mean,copy_identity_paired_rarefied_inflation_ci_low,copy_identity_paired_rarefied_inflation_ci_high,reference_alias_normalized_rarefied_effective_shannon_mean,reference_alias_paired_rarefied_inflation_mean,reference_alias_paired_rarefied_inflation_ci_low,reference_alias_paired_rarefied_inflation_ci_high,unlabeled_topology_rarefied_ci_low,unlabeled_topology_rarefied_ci_high,topology_groups_merging_multiple_provenance_ids,max_provenance_ids_per_topology,fraction_trajectories_in_merged_topology_groups
1,linear_distance,0.5,0.03,3697332404,8007,1144,2561,2561,1.0,24.117226064186053,24.117226064186053,1.0,2561,1.0,24.117226064186053,1.0,2561,1.0,24.117226064186053,1.0,2.197612600394626,2.197612600394626,12.884975914737206,12.884975914737204,1.0,0.9999999999999996,1.0000000000000004,12.884975914737204,1.0000000000000002,0.9999999999999996,1.0000000000000009,12.884975914737204,1.0000000000000002,0.9999999999999996,1.0000000000000009,10.700544510454657,15.77905940439508,0,1,0.0
2,linear_distance,0.5,0.05,1368124422,6889,1144,3230,3230,1.0,93.7362679503313,93.7362679503313,1.0,3230,1.0,93.7362679503313,1.0,3230,1.0,93.7362679503313,1.0,3.65080099299761,3.65080099299761,40.94273098607849,40.94273098607848,1.0,0.9999999999999996,1.0000000000000009,40.94273098607848,1.0,0.9999999999999996,1.0000000000000009,40.94273098607848,1.0,0.9999999999999996,1.0000000000000009,32.77195678693662,49.30525486891548,0,1,0.0
3,linear_distance,0.5,0.07,2525498675,5848,1144,3464,3463,1.0002887669650593,259.834618205978,259.4457931960758,1.0014986753306436,3463,1.0002887669650593,259.4457931960758,1.0014986753306436,3464,1.0,259.834618205978,1.0,6.246952521551633,6.241619038093849,97.74355278221168,97.63781035992807,1.0010615271082073,0.999999999999999,1.0062672842895082,97.63781035992803,1.0010615271082075,0.9999999999999991,1.0062672842895086,97.74355278221167,1.0,0.999999999999999,1.0000000000000009,81.2954587768325,113.20844328974557,1,2,0.40013679890560877
4,linear_distance,0.5,0.09,340349571,5178,1144,3635,3635,1.0,610.2198951660125,610.2198951660125,1.0,3635,1.0,610.2198951660125,1.0,3635,1.0,610.2198951660125,1.0,11.802039278382106,11.802039278382106,208.12465727993796,208.12465727993794,1.0,0.9999999999999991,1.0000000000000009,208.12465727993794,1.0000000000000002,0.9999999999999991,1.0000000000000009,208.12465727993794,1.0000000000000002,0.9999999999999991,1.0000000000000009,182.92501565999302,238.46567022149452,0,1,0.0
5,linear_distance,0.5,0.1,3432696791,4791,1144,3576,3576,1.0,829.2900227185706,829.2900227185706,1.0,3576,1.0,829.2900227185706,1.0,3576,1.0,829.2900227185706,1.0,16.4137643275619,16.4137643275619,285.74000392414376,285.7400039241437,1.0,0.9999999999999991,1.0000000000000009,285.74000392414376,1.0,0.9999999999999991,1.0000000000000009,285.74000392414376,1.0,0.9999999999999991,1.0000000000000009,249.17388304332206,331.0857638396883,0,1,0.0
6,linear_distance,0.5,0.12,2826128352,4151,1144,3373,3373,1.0,1220.803984012768,1220.803984012768,1.0,3373,1.0,1220.803984012768,1.0,3373,1.0,1220.803984012768,1.0,29.501411653115117,29.501411653115117,428.92441408951913,428.92441408951913,1.0,0.9999999999999991,1.0000000000000009,428.92441408951913,1.0,0.9999999999999991,1.0000000000000009,428.92441408951913,1.0,0.9999999999999991,1.0000000000000009,383.475816040836,494.144565925509,0,1,0.0
7,linear_distance,0.5,0.15,3791611920,3381,1144,2978,2977,1.0003359086328518,1661.452269212864,1658.019541160618,1.0020703785251186,2977,1.0003359086328518,1658.019541160618,1.0020703785251186,2978,1.0,1661.452269212864,1.0,70.13455509267493,69.79199457839046,643.7616341351855,642.7567584051466,1.0015455237815682,0.9999999999999991,1.0052294766425995,642.7567584051466,1.001545523781568,0.999999999999999,1.0052294766425995,643.7616341351854,1.0,0.9999999999999991,1.0000000000000009,587.952646356799,690.6962662980345,1,2,0.11860396332446022
8,linear_distance,0.5,0.18,732349602,2680,1144,2498,2498,1.0,1891.3233719223745,1891.3233719223745,1.0,2498,1.0,1891.3233719223745,1.0,2498,1.0,1891.3233719223745,1.0,207.8842257597686,207.8842257597686,856.4427596318244,856.4427596318243,1.0000000000000002,0.9999999999999991,1.0000000000000009,856.4427596318244,1.0,0.9999999999999991,1.0000000000000009,856.4427596318244,1.0,0.9999999999999991,1.0000000000000009,814.0506066132751,901.6168919884117,0,1,0.0
9,linear_distance,0.5,0.2,2160132656,2406,1144,2275,2275,1.0,1840.580889838723,1840.580889838723,1.0,2275,1.0,1840.580889838723,1.0,2275,1.0,1840.580889838723,1.0,293.87937861711856,293.87937861711856,915.9860180471436,915.9860180471437,1.0,0.999999999999999,1.0000000000000009,915.9860180471435,1.0,0.9999999999999991,1.0000000000000009,915.9860180471435,1.0,0.9999999999999991,1.0000000000000009,874.039323535044,953.9647845237564,0,1,0.0
10,linear_distance,0.5,0.25,1175439774,1582,1144,1547,1547,1.0,1458.1132336595754,1458.1132336595754,1.0,1547,1.0,1458.1132336595754,1.0,1547,1.0,1458.1132336595754,1.0,880.6206896551722,880.6206896551722,1062.2467435673675,1062.2467435673677,0.9999999999999997,0.9999999999999991,1.0000000000000009,1062.246743567368,0.9999999999999997,0.9999999999999991,1.0,1062.246743567368,0.9999999999999997,0.9999999999999991,1.0,1044.2648741134806,1081.8187801264444,0,1,0.0
