model_key,model_name,alpha,p_event,seed,endpoint_type,sample_size,unique_endpoints,shannon_entropy,effective_shannon_diversity,inverse_simpson_diversity,sample_size_standardized
linear_distance,linear-distance sampling,0.5,0.03,3697332404,structural,8007,2561,3.1829263596145694,24.117226064186053,2.197612600394626,False
linear_distance,linear-distance sampling,0.5,0.03,3697332404,orf_copy_number,8007,1035,1.3221865648674604,3.75161556622659,1.3334033741160911,False
linear_distance,linear-distance sampling,0.5,0.05,1368124422,structural,6889,3230,4.540485178925515,93.7362679503313,3.65080099299761,False
linear_distance,linear-distance sampling,0.5,0.05,1368124422,orf_copy_number,6889,1349,1.9987421274604984,7.379767451363063,1.5912719101434023,False
linear_distance,linear-distance sampling,0.5,0.07,2525498675,structural,5848,3464,5.560045344805223,259.834618205978,6.246952521551633,False
linear_distance,linear-distance sampling,0.5,0.07,2525498675,orf_copy_number,5848,1466,2.517396670478824,12.396283010769608,1.859786277767556,False
linear_distance,linear-distance sampling,0.5,0.09,340349571,structural,5178,3635,6.413819376087363,610.2198951660125,11.802039278382106,False
linear_distance,linear-distance sampling,0.5,0.09,340349571,orf_copy_number,5178,1730,3.2762583014690536,26.476519972892813,2.391517380895463,False
linear_distance,linear-distance sampling,0.5,0.1,3432696791,structural,4791,3576,6.720569940417187,829.2900227185706,16.4137643275619,False
linear_distance,linear-distance sampling,0.5,0.1,3432696791,orf_copy_number,4791,1769,3.5742992072747457,35.66961504801096,2.6840580940490484,False
linear_distance,linear-distance sampling,0.5,0.12,2826128352,structural,4151,3373,7.10726492396914,1220.803984012768,29.50141165311512,False
linear_distance,linear-distance sampling,0.5,0.12,2826128352,orf_copy_number,4151,1778,4.025184702503198,55.99064943974923,3.2701868664544747,False
linear_distance,linear-distance sampling,0.5,0.15,3791611920,structural,3381,2978,7.415447359854388,1661.452269212864,70.13455509267493,False
linear_distance,linear-distance sampling,0.5,0.15,3791611920,orf_copy_number,3381,1697,4.547923197070964,94.43607939096177,4.325887104678487,False
linear_distance,linear-distance sampling,0.5,0.18,732349602,structural,2680,2498,7.5450320598146146,1891.3233719223745,207.8842257597686,False
linear_distance,linear-distance sampling,0.5,0.18,732349602,orf_copy_number,2680,1586,5.12005371935735,167.34435901107204,6.382698890599058,False
linear_distance,linear-distance sampling,0.5,0.2,2160132656,structural,2406,2275,7.5178365017792625,1840.580889838723,293.87937861711856,False
linear_distance,linear-distance sampling,0.5,0.2,2160132656,orf_copy_number,2406,1522,5.358332844306394,212.3705963044061,7.82820994098587,False
linear_distance,linear-distance sampling,0.5,0.25,1175439774,structural,1582,1547,7.28489857324263,1458.1132336595754,880.6206896551722,False
linear_distance,linear-distance sampling,0.5,0.25,1175439774,orf_copy_number,1582,1156,5.760276835852039,317.4361944744867,14.160484327260374,False
