model_key,model_name,alpha,p_event,seed,initialized_trajectories,sequential_steps,accepted_events,gate_passing_trajectories,gate_failing_trajectories,essentiality_gate_passing_fraction,essentiality_gate_failing_fraction,deletion_events,inversion_events,duplication_events,direct_hic_events,distance_fallback_events,uniform_events,structural_unique_endpoints_full_sample,structural_shannon_full_sample,structural_effective_shannon_full_sample,structural_inverse_simpson_full_sample,orf_unique_endpoints_full_sample,orf_shannon_full_sample,orf_effective_shannon_full_sample,orf_inverse_simpson_full_sample,top_missing_gate_genes,elapsed_seconds,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,pareto_optimal,passes_retention_0_50,passes_retention_0_70
linear_distance,linear-distance sampling,2.0,0.03,624955490,10000,20,5764,9086,914,0.9086,0.0914,2619,2293,852,0,5764,0,2990,3.882446771870261,48.54284314735845,2.8243003821913004,1302,2.0034645143785754,7.414699986187564,1.6093231323276198,S000000451:45;S000000447:45;S000000328:41;S000000208:41;S000000460:39;S000000461:39;S000000313:39;S000000314:39;S000000259:39;S000000215:39;S000000110:39;S000000440:39;S000000441:39;S000000274:38;S000000325:38;S000000371:38;S000000605:38;S000000606:38;S000000100:38;S000000356:37,49.82949050000025,23.4524903516595,19.086943817347795,28.720696198097613,True,True,True
linear_distance,linear-distance sampling,2.0,0.05,2715674654,10000,20,9247,8555,1445,0.8555,0.1445,4084,3771,1392,0,9247,0,4164,5.4730345459916885,238.18187106650416,5.681866438298998,1825,2.996060105174375,20.006557707260846,2.181977056931104,S000000242:69;S000000253:68;S000000233:68;S000000110:61;S000000451:60;S000000130:59;S000000131:59;S000000259:59;S000000447:56;S000000457:54;S000000458:54;S000000274:53;S000000440:53;S000000441:53;S000000306:53;S000000208:52;S000000114:52;S000000394:51;S000000215:51;S000000460:51,67.90600230000018,84.59045928564063,70.24299513786785,98.27611409064122,True,True,True
linear_distance,linear-distance sampling,2.0,0.07,308999449,10000,20,12662,7988,2012,0.7988,0.2012,5694,5078,1890,0,12662,0,4977,6.611998608712628,743.9684356359561,11.951346621234864,2254,3.909737980015206,49.88587916351408,3.067426406785935,S000000283:91;S000000284:91;S000000274:87;S000000215:77;S000000313:77;S000000314:77;S000000110:75;S000000325:74;S000000295:73;S000000328:73;S000000242:72;S000000291:71;S000000292:71;S000000293:71;S000000415:70;S000000136:70;S000000137:70;S000000648:70;S000000371:70;S000000233:68,83.35238329999993,210.6509011673625,178.46280484900518,250.85707704350466,True,True,True
linear_distance,linear-distance sampling,2.0,0.09,3011066200,10000,20,15584,7424,2576,0.7424,0.2576,6977,6238,2369,0,15584,0,5340,7.2669827173693236,1432.22250690837,22.84226275091322,2608,4.608833330874811,100.3669862401856,4.159423166351491,S000000259:109;S000000291:108;S000000292:108;S000000293:108;S000000253:104;S000000344:103;S000000346:103;S000000347:103;S000000274:102;S000000295:102;S000007595:100;S000000208:100;S000000440:99;S000000441:99;S000000396:98;S000000397:98;S000000215:97;S000000415:97;S000000306:96;S000000447:96,96.73354560000008,353.136719088826,310.7951348198502,397.9437713809748,True,True,True
linear_distance,linear-distance sampling,2.0,0.1,4101281670,10000,20,17468,7285,2715,0.7285,0.2715,7796,7024,2648,0,17468,0,5604,7.592968756476786,1984.195371384643,34.522158525059055,2804,4.970955276512005,144.16453861055246,4.989470364010456,S000000400:120;S000000402:120;S000000396:118;S000000397:118;S000000356:117;S000000357:117;S000000358:117;S000000359:117;S000000283:113;S000000284:113;S000000340:113;S000000344:112;S000000346:112;S000000347:112;S000000394:111;S000000371:111;S000000328:110;S000000415:110;S000000291:108;S000000292:108,103.80251060000046,460.099601760595,397.30360574563616,507.4542460367514,True,True,True
linear_distance,linear-distance sampling,2.0,0.12,4216611858,10000,20,20115,6805,3195,0.6805,0.3195,8862,8180,3073,0,20115,0,5715,7.9871007245992285,2942.752728832876,73.95805883358173,3043,5.458338370349413,234.7071038879824,6.556560783581366,S000000394:150;S000000283:147;S000000284:147;S000000274:143;S000000396:138;S000000397:138;S000000371:136;S000000259:132;S000000291:131;S000000292:131;S000000293:131;S000000253:126;S000000306:120;S000000400:120;S000000402:120;S000000295:118;S000000233:116;S000000325:115;S000000415:115;S000000356:115,113.61591099999896,642.879111529066,585.3680171796492,705.0351822306272,True,True,False
linear_distance,linear-distance sampling,2.0,0.15,3319947148,10000,20,24118,6173,3827,0.6173,0.3827,10590,9839,3689,0,24118,0,5672,8.350449915198029,4232.084393946144,279.268657153955,3379,6.22391383237627,504.674583458474,11.33913681828096,S000000283:169;S000000284:169;S000000340:165;S000000313:162;S000000314:162;S000000295:161;S000000328:160;S000000325:157;S000000291:156;S000000292:156;S000000293:156;S000000114:156;S000000253:153;S000000344:151;S000000346:151;S000000347:151;S000000274:150;S000000116:150;S000000306:149;S000000356:148,126.04585719999886,890.1141303397499,833.0454256983943,943.2223954158022,True,True,False
linear_distance,linear-distance sampling,2.0,0.18,1764842416,10000,20,27785,5557,4443,0.5557,0.4443,12174,11288,4323,0,27785,0,5335,8.440222318993207,4629.584114636227,785.5371015746225,3527,6.735701874417825,841.934208838258,18.481726998126103,S000000295:195;S000000340:192;S000000291:191;S000000292:191;S000000293:191;S000000344:190;S000000346:190;S000000347:190;S000000325:183;S000000274:182;S000000328:181;S000000356:181;S000000357:181;S000000358:181;S000000359:181;S000000306:180;S000000208:179;S000000371:178;S000000110:174;S000000283:172,136.49752760000047,1016.3675457415878,975.454330561702,1053.9357031105062,True,True,False
linear_distance,linear-distance sampling,2.0,0.2,212422559,10000,20,30056,5255,4745,0.5255,0.4745,13253,12256,4547,0,30056,0,5119,8.456264466938192,4704.451499166669,1481.4132825492195,3653,7.084178708695114,1192.9430792684086,28.56554345858441,S000000291:196;S000000292:196;S000000293:196;S000000313:195;S000000314:195;S000000295:191;S000000328:189;S000000274:188;S000000114:187;S000000283:186;S000000284:186;S000000242:185;S000000306:180;S000000356:179;S000000357:179;S000000358:179;S000000359:179;S000000340:178;S000000325:178;S000000259:177,142.15764260000103,1063.2987980545845,1031.511313803504,1093.1386082418614,True,True,False
linear_distance,linear-distance sampling,2.0,0.25,1281578188,10000,20,35249,4468,5532,0.4468,0.5532,15497,14396,5356,0,35249,0,4433,8.377241181102432,4346.999783144,3568.649267071863,3580,7.54010889856926,1882.0349649186408,71.66610663564951,S000000328:225;S000000313:224;S000000314:224;S000000259:224;S000000306:223;S000000283:223;S000000284:223;S000000253:221;S000000325:219;S000000295:218;S000000291:217;S000000292:217;S000000293:217;S000000344:213;S000000346:213;S000000347:213;S000000274:208;S000000242:207;S000000340:204;S000000415:202,151.22417939999832,1124.6987767027335,1102.199713873109,1138.4682401127916,True,False,False
