precursor_event_type,precursor_chromosome,terminal_chromosome,n_precursor_events,pair_activation_events,final_pair_hazard_increase_events,pair_activation_fraction,final_pair_hazard_increase_fraction
duplication,SynII,SynII,54555,3178,3015,0.05825313903400238,0.05526532856750069
duplication,SynII,SynIII,6335,0,0,0.0,0.0
duplication,SynII,SynVI,4743,0,0,0.0,0.0
duplication,SynIII,SynII,7921,0,0,0.0,0.0
duplication,SynIII,SynIII,1490,177,173,0.11879194630872483,0.11610738255033556
duplication,SynIII,SynVI,1234,0,0,0.0,0.0
duplication,SynIXR,SynII,2605,0,0,0.0,0.0
duplication,SynIXR,SynIII,510,0,0,0.0,0.0
duplication,SynIXR,SynVI,426,0,0,0.0,0.0
duplication,SynVI,SynII,5281,0,0,0.0,0.0
duplication,SynVI,SynIII,1010,0,0,0.0,0.0
duplication,SynVI,SynVI,780,82,82,0.10512820512820513,0.10512820512820513
inversion,SynII,SynII,153555,0,8408,0.0,0.054755625020351015
inversion,SynII,SynIII,17528,0,0,0.0,0.0
inversion,SynII,SynVI,13436,0,0,0.0,0.0
inversion,SynIII,SynII,21559,0,0,0.0,0.0
inversion,SynIII,SynIII,3892,0,284,0.0,0.07297019527235354
inversion,SynIII,SynVI,3277,0,0,0.0,0.0
inversion,SynIXR,SynII,7183,0,0,0.0,0.0
inversion,SynIXR,SynIII,1399,0,0,0.0,0.0
inversion,SynIXR,SynVI,1166,0,0,0.0,0.0
inversion,SynVI,SynII,13674,0,0,0.0,0.0
inversion,SynVI,SynIII,2491,0,0,0.0,0.0
inversion,SynVI,SynVI,2048,0,144,0.0,0.0703125
