scope,model_key,alpha,p_event,precursor_event_type,n_precursor_events,n_trajectories,same_chromosome_fraction,final_pair_activation_fraction,proposal_probability_increase_fraction,final_pair_lethal_hazard_increase_fraction,hazard_increase_ci_low_event_level,hazard_increase_ci_high_event_level,median_proposal_log2_ratio_when_nonzero,median_distance_change_when_observable,n_total_hazard_sampled,total_lethal_hazard_increase_fraction_sample,median_total_hazard_log2_ratio_nonzero_sample
scenario,linear_distance,0.5,0.03,duplication,89,86,0.6067415730337079,0.14606741573033707,0.14606741573033707,0.14606741573033707,0.08739460273413961,0.23402924389376945,-0.1053129680406935,0.0,50,0.06,-0.05751197087906435
scenario,linear_distance,0.5,0.03,inversion,229,212,0.62882096069869,0.0,0.048034934497816595,0.048034934497816595,0.02703064009485347,0.08395242517014319,0.0,0.0,50,0.34,0.0
scenario,linear_distance,0.5,0.05,duplication,175,170,0.5771428571428572,0.10857142857142857,0.10857142857142857,0.10857142857142857,0.07061569758086053,0.1633426871057922,-0.0882303561280049,0.0,50,0.1,-0.041188094170430595
scenario,linear_distance,0.5,0.05,inversion,536,490,0.5802238805970149,0.0,0.07276119402985075,0.07276119402985075,0.05368054893057547,0.09792221792523467,0.0,0.0,50,0.4,0.0
scenario,linear_distance,0.5,0.07,duplication,342,323,0.5263157894736842,0.1023391812865497,0.1023391812865497,0.1023391812865497,0.07450848208946345,0.13900397264193462,-0.0880419939238567,0.0,50,0.04,-0.0323608097902987
scenario,linear_distance,0.5,0.07,inversion,1066,891,0.5984990619136961,0.0,0.05722326454033771,0.0600375234521576,0.047294976999786555,0.07593959923922496,0.0,0.0,50,0.42,0.0
scenario,linear_distance,0.5,0.09,duplication,519,483,0.5799614643545279,0.10789980732177264,0.10789980732177264,0.10789980732177264,0.08403129952123548,0.1375300492707726,-0.08704241928872211,0.0,50,0.08,-0.08051579040938325
scenario,linear_distance,0.5,0.09,inversion,1513,1249,0.5816259087904825,0.0,0.05750165234633179,0.058823529411764705,0.04804721080384307,0.07183444048097298,0.0,0.0,50,0.42,0.0
scenario,linear_distance,0.5,0.1,duplication,607,572,0.5848434925864909,0.1301482701812191,0.1301482701812191,0.12685337726523888,0.10270352888585683,0.15569651345152286,-0.1109274685562786,0.0,50,0.08,-0.048470216044256
scenario,linear_distance,0.5,0.1,inversion,1783,1444,0.5933819405496354,0.0,0.06674144699943915,0.06898485698261357,0.0581243923144415,0.08169856600531239,0.0,0.0,50,0.42,0.0
scenario,linear_distance,0.5,0.12,duplication,852,773,0.6044600938967136,0.09741784037558686,0.09741784037558686,0.09624413145539906,0.07821449935963276,0.11789829360084278,-0.1110454346782674,0.0,50,0.14,-0.0376338661780623
scenario,linear_distance,0.5,0.12,inversion,2366,1812,0.6014370245139475,0.0,0.073541842772612,0.07565511411665257,0.06567383575609002,0.0870120991928063,0.0,0.0,50,0.44,0.0
scenario,linear_distance,0.5,0.15,duplication,1148,1018,0.6001742160278746,0.12195121951219512,0.12195121951219512,0.12020905923344948,0.1026523934680381,0.14029897512326797,-0.1110454346782676,0.0,50,0.06,-0.05352122912331175
scenario,linear_distance,0.5,0.15,inversion,3241,2395,0.5914841098426412,0.0,0.07004011107682814,0.07065720456649183,0.06233391720491779,0.07999706095897254,0.0,0.0,50,0.34,0.0
scenario,linear_distance,0.5,0.18,duplication,1467,1280,0.5916837082481254,0.11724608043626449,0.11724608043626449,0.11520109066121335,0.09985908705399674,0.13255308542771937,-0.1224738034625612,0.0,50,0.08,-0.084930031584253
scenario,linear_distance,0.5,0.18,inversion,4127,2840,0.5866246668282045,0.0,0.07947661739762539,0.08020353767870124,0.07230203972183835,0.08888581158117051,0.0,0.0,50,0.4,0.0
scenario,linear_distance,0.5,0.2,duplication,1660,1455,0.608433734939759,0.11626506024096385,0.11626506024096385,0.11144578313253012,0.0971957928707797,0.12748995278053213,-0.1087896236851402,0.0,50,0.04,-0.10906927135331475
scenario,linear_distance,0.5,0.2,inversion,4615,3119,0.5835319609967498,0.0,0.06868905742145179,0.06977248104008667,0.06277445165765322,0.07748614498687942,0.0,0.0,50,0.52,4.154062906785339e-05
scenario,linear_distance,0.5,0.25,duplication,2102,1745,0.5984776403425309,0.12226450999048526,0.12226450999048526,0.11417697431018078,0.1012794954442615,0.1284820836119574,-0.10763596392222645,0.0,50,0.08,-0.026220568730157448
scenario,linear_distance,0.5,0.25,inversion,5977,3782,0.6101723272544755,0.0,0.0736155261837042,0.0754559143382968,0.06902917280928426,0.08242802013883117,0.0,0.0,50,0.38,0.0
