sgd_gene_id,gene_name,precursor_event_type,n_precursor_events,n_trajectories,pair_activation_events,hazard_increase_events,hazard_increase_event_fraction,trajectories_with_pair_activation,trajectories_with_hazard_increase,hazard_increase_trajectory_fraction
S000000274,ALG14,inversion,41240,27956,0,2329,0.056474296799224055,0,2258,0.08076978108456145
S000000283,RPG1,inversion,41270,28000,0,2321,0.05623939907923431,0,2246,0.08021428571428571
S000000284,SEC18,inversion,41270,28000,0,2321,0.05623939907923431,0,2246,0.08021428571428571
S000000356,SPP381,inversion,40811,27637,0,2308,0.0565533802161182,0,2236,0.08090603176900532
S000000357,RIB7,inversion,40811,27637,0,2308,0.0565533802161182,0,2236,0.08090603176900532
S000000358,RPB5,inversion,40811,27637,0,2308,0.0565533802161182,0,2236,0.08090603176900532
S000000359,CNS1,inversion,40811,27637,0,2308,0.0565533802161182,0,2236,0.08090603176900532
S000000295,TIM12,inversion,41906,28423,0,2299,0.05486087911038992,0,2227,0.07835203884178306
S000000259,PRP6,inversion,40799,27649,0,2294,0.05622686830559573,0,2231,0.0806900792072046
S000000371,POP7,inversion,40748,27615,0,2284,0.056051830764700106,0,2219,0.08035487959442332
S000000306,EXO84,inversion,42115,28493,0,2283,0.05420871423483319,0,2213,0.07766819920682273
S000000291,RFC5,inversion,41667,28250,0,2282,0.054767561859505126,0,2212,0.07830088495575221
S000000292,POL30,inversion,41667,28250,0,2282,0.054767561859505126,0,2212,0.07830088495575221
S000000293,YBR089W,inversion,41667,28250,0,2282,0.054767561859505126,0,2212,0.07830088495575221
S000000253,REB1,inversion,40847,27719,0,2270,0.055573236712610476,0,2211,0.079764782279303
S000000344,IRA1,inversion,40854,27620,0,2261,0.05534341802516277,0,2201,0.07968863142650254
S000000346,MAK5,inversion,40854,27620,0,2261,0.05534341802516277,0,2201,0.07968863142650254
S000000347,SUP45,inversion,40854,27620,0,2261,0.05534341802516277,0,2201,0.07968863142650254
S000000340,MEC1,inversion,41031,27694,0,2260,0.05508030513514172,0,2204,0.07958402542066874
S000000328,YBR124W,inversion,41553,28217,0,2259,0.05436430582629413,0,2203,0.07807350178970124
S000000325,GRS1,inversion,41629,28249,0,2258,0.05424103389464076,0,2203,0.0779850614181033
S000000313,CMD1,inversion,41911,28351,0,2256,0.05382835055236095,0,2194,0.07738704102148072
S000000314,ALG1,inversion,41911,28351,0,2256,0.05382835055236095,0,2194,0.07738704102148072
S000000242,CHS2,inversion,40406,27322,0,2243,0.05551155768945206,0,2175,0.07960617817143693
S000000233,CDS1,inversion,39699,26856,0,2206,0.0555681503312426,0,2142,0.07975871313672922
S000000394,YBR190W,inversion,36691,24708,0,2190,0.05968766182442561,0,2131,0.08624736927310993
S000000208,GPI18,inversion,38043,25647,0,2183,0.0573824356649055,0,2116,0.08250477638710181
S000000215,IPP1,inversion,38741,26104,0,2171,0.05603882191992979,0,2104,0.08060067422617223
S000000396,RIM2,inversion,36303,24468,0,2170,0.05977467426934413,0,2110,0.0862350825568089
S000000397,MED8,inversion,36303,24468,0,2170,0.05977467426934413,0,2110,0.0862350825568089
S000000100,UTP20,inversion,36788,24755,0,2163,0.058796346634772206,0,2096,0.08466976368410423
S000000400,PGI1,inversion,35367,23855,0,2157,0.06098905759606413,0,2095,0.08782225948438482
S000000402,TAF5,inversion,35367,23855,0,2157,0.06098905759606413,0,2095,0.08782225948438482
S000000415,AME1,inversion,33726,22786,0,2105,0.062414754195576114,0,2047,0.08983586412709559
S000000110,RRN6,inversion,34507,23203,0,2051,0.0594372156374069,0,1989,0.08572167392147567
S000000114,POP8,inversion,33518,22526,0,2024,0.06038546452652306,0,1971,0.08749889017135755
S000000116,RFT1,inversion,33125,22286,0,2013,0.060769811320754714,0,1962,0.088037332854707
S000000122,LSM2,inversion,31236,20988,0,1974,0.06319631194775259,0,1926,0.09176672384219554
S000000126,PET9,inversion,30622,20546,0,1960,0.06400627000195938,0,1912,0.09305947629708945
S000000130,STU1,inversion,29470,19737,0,1926,0.06535459789616559,0,1872,0.09484724122207022
S000000131,POL12,inversion,29470,19737,0,1926,0.06535459789616559,0,1872,0.09484724122207022
S000000136,ERD2,inversion,27982,18667,0,1827,0.06529197341147881,0,1780,0.09535544008142711
S000000137,PRE7,inversion,27982,18667,0,1827,0.06529197341147881,0,1780,0.09535544008142711
S000007595,DAD3,inversion,27482,18686,0,1774,0.06455134269703806,0,1725,0.09231510221556245
S000000440,ABD1,inversion,26685,18161,0,1734,0.06498032602585722,0,1682,0.09261604537195088
S000000441,PRP5,inversion,26685,18161,0,1734,0.06498032602585722,0,1682,0.09261604537195088
S000000146,SEC17,inversion,25880,17190,0,1715,0.06626738794435857,0,1668,0.09703315881326352
S000000447,ALG7,inversion,25949,17628,0,1709,0.0658599560676712,0,1657,0.0939981847061493
S000000451,ENP1,inversion,25137,17061,0,1629,0.06480486931614751,0,1585,0.09290194009729794
S000000457,SRB6,inversion,23463,15863,0,1518,0.06469760900140648,0,1474,0.09292063291937212
S000000458,TRS20,inversion,23463,15863,0,1518,0.06469760900140648,0,1474,0.09292063291937212
S000000460,RIB5,inversion,23205,15678,0,1493,0.0643395819866408,0,1450,0.09248628651613726
S000000461,POP4,inversion,23205,15678,0,1493,0.0643395819866408,0,1450,0.09248628651613726
S000000469,TSC10,inversion,20240,13616,0,1354,0.06689723320158103,0,1317,0.09672444183313748
S000000169,YBL073W,inversion,17768,11692,0,1285,0.07232102656461054,0,1236,0.10571330824495381
