scenario,model_key,alpha,p_event,logged_events,gate_failing_trajectories,replayed_trajectories_with_nondeletion_precursors,nondeletion_precursor_events,sampled_total_hazard_events,replay_mismatches,elapsed_seconds
scenario_001,linear_distance,0.5,0.03,5456,1993,285,318,100,0,4.940461900012451
scenario_002,linear_distance,0.5,0.05,8383,3111,627,711,100,0,10.642511799989734
scenario_003,linear_distance,0.5,0.07,10991,4152,1129,1408,100,0,13.985750300009386
scenario_004,linear_distance,0.5,0.09,13467,4822,1559,2032,100,0,17.10966260000714
scenario_005,linear_distance,0.5,0.1,14370,5209,1785,2390,100,0,20.004045299996505
scenario_006,linear_distance,0.5,0.12,16337,5849,2236,3218,100,0,23.03554979999899
scenario_007,linear_distance,0.5,0.15,18652,6619,2910,4389,100,0,28.33756819998962
scenario_008,linear_distance,0.5,0.18,20427,7320,3462,5594,100,0,35.79018539999379
scenario_009,linear_distance,0.5,0.2,21716,7594,3761,6275,100,0,24.262529400002677
scenario_010,linear_distance,0.5,0.25,23507,8418,4463,8079,100,0,28.94264400000975
scenario_011,linear_distance,0.5,0.3,25179,8856,4949,9682,100,0,33.60810990000027
scenario_012,linear_distance,1.0,0.03,5556,1564,227,254,100,0,3.449527200005832
scenario_013,linear_distance,1.0,0.05,8752,2514,564,653,100,0,5.023925699992105
scenario_014,linear_distance,1.0,0.07,11594,3267,941,1177,100,0,7.175759300007485
scenario_015,linear_distance,1.0,0.09,14232,4105,1387,1844,100,0,9.225349200001801
scenario_016,linear_distance,1.0,0.1,15376,4422,1588,2164,100,0,9.862250400008634
scenario_017,linear_distance,1.0,0.12,17657,5015,2025,2900,100,0,11.758355900004972
scenario_018,linear_distance,1.0,0.15,20530,5952,2698,4148,100,0,14.944374699989567
scenario_019,linear_distance,1.0,0.18,22540,6523,3164,5164,100,0,17.384619899996324
scenario_020,linear_distance,1.0,0.2,23934,6934,3469,5977,100,0,18.685948999991524
scenario_021,linear_distance,1.0,0.25,27071,7630,4231,7935,100,0,22.781211299996357
scenario_022,linear_distance,1.0,0.3,29359,8318,4910,10121,100,0,29.013279400009196
scenario_023,linear_distance,1.5,0.03,5680,1224,165,184,100,0,2.7672455000138143
scenario_024,linear_distance,1.5,0.05,9001,1907,440,515,100,0,3.9684439999982715
scenario_025,linear_distance,1.5,0.07,12128,2637,771,954,100,0,6.08384870000009
scenario_026,linear_distance,1.5,0.09,14983,3257,1043,1380,100,0,7.101516700000502
scenario_027,linear_distance,1.5,0.1,16634,3567,1352,1822,100,0,7.932564400005504
scenario_028,linear_distance,1.5,0.12,18922,4025,1655,2350,100,0,9.564591599992127
scenario_029,linear_distance,1.5,0.15,22416,4764,2245,3491,100,0,11.51681980000285
scenario_030,linear_distance,1.5,0.18,25416,5407,2782,4664,100,0,13.519455300003756
scenario_031,linear_distance,1.5,0.2,27422,5711,3116,5413,100,0,14.935333800007356
scenario_032,linear_distance,1.5,0.25,31300,6689,3949,7523,100,0,18.199322300002677
scenario_033,linear_distance,1.5,0.3,34622,7342,4588,9725,100,0,21.67261390000931
scenario_034,linear_distance,2.0,0.03,5764,914,141,153,85,0,2.1650782999931835
scenario_035,linear_distance,2.0,0.05,9247,1445,291,331,100,0,2.8304077000066172
scenario_036,linear_distance,2.0,0.07,12662,2012,554,721,100,0,4.1088146999973105
scenario_037,linear_distance,2.0,0.09,15584,2576,919,1214,100,0,5.439077799994266
scenario_038,linear_distance,2.0,0.1,17468,2715,1036,1404,100,0,5.62974010000471
scenario_039,linear_distance,2.0,0.12,20115,3195,1339,1931,100,0,6.6507565999927465
scenario_040,linear_distance,2.0,0.15,24118,3827,1830,2864,100,0,9.092167099996004
scenario_041,linear_distance,2.0,0.18,27785,4443,2341,4023,100,0,11.645487599991611
scenario_042,linear_distance,2.0,0.2,30056,4745,2607,4565,100,0,12.961391499993624
scenario_043,linear_distance,2.0,0.25,35249,5532,3357,6541,100,0,16.042114299998502
scenario_044,linear_distance,2.0,0.3,39247,6290,4101,8810,100,0,17.833543599990662
scenario_045,partial_hic_fallback,0.5,0.03,5326,1916,257,296,100,0,3.974000700007309
scenario_046,partial_hic_fallback,0.5,0.05,8486,3019,638,743,100,0,6.581208999996306
scenario_047,partial_hic_fallback,0.5,0.07,11005,3902,1005,1236,100,0,8.914439600004698
scenario_048,partial_hic_fallback,0.5,0.09,13469,4724,1498,1955,100,0,11.220990400004666
scenario_049,partial_hic_fallback,0.5,0.1,14688,5007,1749,2357,100,0,12.84460469998885
scenario_050,partial_hic_fallback,0.5,0.12,16492,5782,2234,3162,100,0,15.397184500005096
scenario_051,partial_hic_fallback,0.5,0.15,18793,6473,2776,4182,100,0,19.012795300004655
scenario_052,partial_hic_fallback,0.5,0.18,21210,7242,3539,5752,100,0,27.5485508999991
scenario_053,partial_hic_fallback,0.5,0.2,21957,7574,3762,6342,100,0,30.28617160000431
scenario_054,partial_hic_fallback,0.5,0.25,24192,8256,4407,8067,100,0,37.92026669999177
scenario_055,partial_hic_fallback,0.5,0.3,25441,8836,4960,9781,100,0,45.61626239999896
scenario_056,partial_hic_fallback,1.0,0.03,5533,1651,246,269,100,0,5.088917400003993
scenario_057,partial_hic_fallback,1.0,0.05,8764,2686,592,682,100,0,7.385868700002902
scenario_058,partial_hic_fallback,1.0,0.07,11477,3368,935,1166,100,0,8.73997129999043
scenario_059,partial_hic_fallback,1.0,0.09,14078,4315,1442,1883,100,0,11.82218639999337
scenario_060,partial_hic_fallback,1.0,0.1,15000,4693,1662,2192,100,0,13.455603199996403
scenario_061,partial_hic_fallback,1.0,0.12,17264,5183,2061,2883,100,0,15.242296799988253
scenario_062,partial_hic_fallback,1.0,0.15,20050,6019,2734,4130,100,0,20.036398299998837
scenario_063,partial_hic_fallback,1.0,0.18,22271,6715,3255,5348,100,0,26.04689819998748
scenario_064,partial_hic_fallback,1.0,0.2,23993,7059,3636,6222,100,0,26.930830900004366
scenario_065,partial_hic_fallback,1.0,0.25,26614,7838,4369,8144,100,0,32.157026499990025
scenario_066,partial_hic_fallback,1.0,0.3,28275,8438,4860,9855,100,0,35.287139400010346
scenario_067,partial_hic_fallback,1.5,0.03,5618,1612,235,263,100,0,4.5684174000052735
scenario_068,partial_hic_fallback,1.5,0.05,8720,2626,559,650,100,0,6.645830699999351
scenario_069,partial_hic_fallback,1.5,0.07,11697,3474,990,1228,100,0,9.61453099999926
scenario_070,partial_hic_fallback,1.5,0.09,14128,4112,1361,1808,100,0,11.478435099998023
scenario_071,partial_hic_fallback,1.5,0.1,15620,4405,1607,2183,100,0,13.86353919999965
scenario_072,partial_hic_fallback,1.5,0.12,17568,5051,2006,2887,100,0,17.3720350000076
scenario_073,partial_hic_fallback,1.5,0.15,20281,5889,2589,4015,100,0,19.55217989999801
scenario_074,partial_hic_fallback,1.5,0.18,22669,6542,3244,5229,100,0,22.92322259998764
scenario_075,partial_hic_fallback,1.5,0.2,24267,6922,3581,6157,100,0,24.16664920000767
scenario_076,partial_hic_fallback,1.5,0.25,26791,7783,4323,8120,100,0,28.394928099995013
scenario_077,partial_hic_fallback,1.5,0.3,28904,8285,4827,9758,100,0,31.332144900006824
scenario_078,partial_hic_fallback,2.0,0.03,5505,1598,191,216,100,0,3.7897900999960257
scenario_079,partial_hic_fallback,2.0,0.05,8774,2609,511,579,100,0,5.681379400004516
scenario_080,partial_hic_fallback,2.0,0.07,11466,3403,915,1126,100,0,7.848997799999779
scenario_081,partial_hic_fallback,2.0,0.09,14132,4119,1360,1748,100,0,10.16816440000548
scenario_082,partial_hic_fallback,2.0,0.1,15455,4477,1653,2209,100,0,11.242422399998759
scenario_083,partial_hic_fallback,2.0,0.12,17278,5187,2055,2941,100,0,12.831335800001398
scenario_084,partial_hic_fallback,2.0,0.15,20175,5943,2700,4104,100,0,15.538733599998523
scenario_085,partial_hic_fallback,2.0,0.18,22677,6593,3218,5244,100,0,18.5692132999975
scenario_086,partial_hic_fallback,2.0,0.2,24121,6940,3568,6077,100,0,20.374058300003526
scenario_087,partial_hic_fallback,2.0,0.25,26848,7738,4322,8130,100,0,25.153045500002918
scenario_088,partial_hic_fallback,2.0,0.3,28908,8293,4822,9768,100,0,27.943706799997017
