scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,linear_distance,0.5,0.03,deletion_only,1682
scenario,linear_distance,0.5,0.03,duplication_only_history,73
scenario,linear_distance,0.5,0.03,earlier_deletion_only,26
scenario,linear_distance,0.5,0.03,earlier_deletion_with_nondeletion,8
scenario,linear_distance,0.5,0.03,inversion_only_history,191
scenario,linear_distance,0.5,0.03,mixed_inversion_duplication,13
scenario,linear_distance,0.5,0.05,deletion_only,2392
scenario,linear_distance,0.5,0.05,duplication_only_history,128
scenario,linear_distance,0.5,0.05,earlier_deletion_only,92
scenario,linear_distance,0.5,0.05,earlier_deletion_with_nondeletion,29
scenario,linear_distance,0.5,0.05,inversion_only_history,440
scenario,linear_distance,0.5,0.05,mixed_inversion_duplication,30
scenario,linear_distance,0.5,0.07,deletion_only,2886
scenario,linear_distance,0.5,0.07,duplication_only_history,220
scenario,linear_distance,0.5,0.07,earlier_deletion_only,137
scenario,linear_distance,0.5,0.07,earlier_deletion_with_nondeletion,71
scenario,linear_distance,0.5,0.07,inversion_only_history,761
scenario,linear_distance,0.5,0.07,mixed_inversion_duplication,77
scenario,linear_distance,0.5,0.09,deletion_only,3098
scenario,linear_distance,0.5,0.09,duplication_only_history,274
scenario,linear_distance,0.5,0.09,earlier_deletion_only,165
scenario,linear_distance,0.5,0.09,earlier_deletion_with_nondeletion,146
scenario,linear_distance,0.5,0.09,inversion_only_history,984
scenario,linear_distance,0.5,0.09,mixed_inversion_duplication,155
scenario,linear_distance,0.5,0.1,deletion_only,3254
scenario,linear_distance,0.5,0.1,duplication_only_history,311
scenario,linear_distance,0.5,0.1,earlier_deletion_only,170
scenario,linear_distance,0.5,0.1,earlier_deletion_with_nondeletion,171
scenario,linear_distance,0.5,0.1,inversion_only_history,1095
scenario,linear_distance,0.5,0.1,mixed_inversion_duplication,208
scenario,linear_distance,0.5,0.12,deletion_only,3412
scenario,linear_distance,0.5,0.12,duplication_only_history,382
scenario,linear_distance,0.5,0.12,earlier_deletion_only,201
scenario,linear_distance,0.5,0.12,earlier_deletion_with_nondeletion,254
scenario,linear_distance,0.5,0.12,inversion_only_history,1300
scenario,linear_distance,0.5,0.12,mixed_inversion_duplication,300
scenario,linear_distance,0.5,0.15,deletion_only,3495
scenario,linear_distance,0.5,0.15,duplication_only_history,449
scenario,linear_distance,0.5,0.15,earlier_deletion_only,214
scenario,linear_distance,0.5,0.15,earlier_deletion_with_nondeletion,361
scenario,linear_distance,0.5,0.15,inversion_only_history,1678
scenario,linear_distance,0.5,0.15,mixed_inversion_duplication,422
scenario,linear_distance,0.5,0.18,deletion_only,3582
scenario,linear_distance,0.5,0.18,duplication_only_history,538
scenario,linear_distance,0.5,0.18,earlier_deletion_only,276
scenario,linear_distance,0.5,0.18,earlier_deletion_with_nondeletion,492
scenario,linear_distance,0.5,0.18,inversion_only_history,1908
scenario,linear_distance,0.5,0.18,mixed_inversion_duplication,524
scenario,linear_distance,0.5,0.2,deletion_only,3554
scenario,linear_distance,0.5,0.2,duplication_only_history,523
scenario,linear_distance,0.5,0.2,earlier_deletion_only,279
scenario,linear_distance,0.5,0.2,earlier_deletion_with_nondeletion,641
scenario,linear_distance,0.5,0.2,inversion_only_history,1973
scenario,linear_distance,0.5,0.2,mixed_inversion_duplication,624
scenario,linear_distance,0.5,0.25,deletion_only,3663
scenario,linear_distance,0.5,0.25,duplication_only_history,565
scenario,linear_distance,0.5,0.25,earlier_deletion_only,292
scenario,linear_distance,0.5,0.25,earlier_deletion_with_nondeletion,795
scenario,linear_distance,0.5,0.25,inversion_only_history,2303
scenario,linear_distance,0.5,0.25,mixed_inversion_duplication,800
scenario,linear_distance,0.5,0.3,deletion_only,3642
scenario,linear_distance,0.5,0.3,duplication_only_history,579
scenario,linear_distance,0.5,0.3,earlier_deletion_only,265
scenario,linear_distance,0.5,0.3,earlier_deletion_with_nondeletion,1013
scenario,linear_distance,0.5,0.3,inversion_only_history,2399
scenario,linear_distance,0.5,0.3,mixed_inversion_duplication,958
