scenario,model_key,alpha,p_event,seed,trajectory_id,trajectory_key,precursor_event_id,precursor_step,precursor_event_type,precursor_chromosome,precursor_left_lox_copy_id,precursor_right_lox_copy_id,terminal_event_id,terminal_step,terminal_chromosome,terminal_left_lox_copy_id,terminal_right_lox_copy_id,terminal_missing_gate_genes,events_until_failure,same_chromosome_as_terminal,immediate_predecessor,final_pair_exists_before,final_pair_exists_after,final_pair_activated,final_pair_distance_before,final_pair_distance_after,distance_change,final_pair_lethal_before,final_pair_lethal_after,final_pair_lethality_activated,final_pair_buffered_after,proposal_probability_before,proposal_probability_after,proposal_probability_change,proposal_probability_increased,proposal_log2_ratio_nonzero,final_pair_lethal_hazard_before,final_pair_lethal_hazard_after,final_pair_lethal_hazard_increased,cascade_mechanism,total_hazard_sampled,total_lethal_pair_probability_before,total_lethal_pair_probability_after,total_lethal_hazard_before,total_lethal_hazard_after,total_lethal_hazard_increased,total_hazard_log2_ratio_nonzero,cascade_score,proposal_probability_fold_change_nonzero
scenario_044,linear_distance,2.0,0.3,3171143693,8926,scenario_044:8926,2,8,duplication,SynVI,SynVI_loxPsym_60@0,SynVI_loxPsym_64@0,3,9,SynVI,SynVI_loxPsym_64@e2l7,SynVI_loxPsym_65@0,S000001948,1,True,True,False,True,True,,1.0,,False,True,True,False,0.0,0.0008408499837278,0.0008408499837278,True,,0.0,0.0001114818435965,True,final_pair_activation,False,,,,,False,,996.9247185201134,
scenario_039,linear_distance,2.0,0.12,4216611858,9072,scenario_039:9072,2,8,duplication,SynIII,SynIII_loxPsym_24@0,SynIII_loxPsym_26@0,3,16,SynIII,SynIII_loxPsym_26@e2l3,SynIII_loxPsym_27@0,S000000522,1,True,True,False,True,True,,1.0,,False,True,True,False,0.0,0.0008390463595114,0.0008390463595114,True,,0.0,4.449708596369005e-05,True,final_pair_activation,False,,,,,False,,996.9237859574005,
scenario_033,linear_distance,1.5,0.3,2308636446,6771,scenario_033:6771,2,7,duplication,SynII,SynII_loxPsym_190@0,SynII_loxPsym_206@0,3,13,SynII,SynII_loxPsym_206@e2l31,SynII_loxPsym_207@0,S000000394,1,True,True,False,True,True,,1.0,,False,True,True,False,0.0,0.0005358196157822,0.0005358196157822,True,,0.0,7.104020902485218e-05,True,final_pair_activation,False,,,,,False,,996.7290186086191,
scenario_036,linear_distance,2.0,0.07,308999449,976,scenario_036:976,1,5,duplication,SynIII,SynIII_loxPsym_25@0,SynIII_loxPsym_26@0,2,6,SynIII,SynIII_loxPsym_26@e1l1,SynIII_loxPsym_28@0,S000000522,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0003737061506616,0.0003737061506616,True,,0.0,1.1560926844558983e-05,True,final_pair_activation,True,0.3608883889620246,0.3604381046425127,0.0111643981680626,0.0111504682285422,False,-0.0018011900155939,996.5725302457662,
scenario_043,linear_distance,2.0,0.25,1281578188,3025,scenario_043:3025,1,3,duplication,SynII,SynII_loxPsym_55@0,SynII_loxPsym_56@0,2,4,SynII,SynII_loxPsym_55@0,SynII_loxPsym_56@e1l1,S000000116,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0003736983464982,0.0003736983464982,True,,0.0,4.128816219976858e-05,True,final_pair_activation,False,,,,,False,,996.5725211762326,
scenario_039,linear_distance,2.0,0.12,4216611858,7167,scenario_039:7167,2,7,duplication,SynIII,SynIII_loxPsym_66@0,SynIII_loxPsym_68@0,3,13,SynIII,SynIII_loxPsym_67@e2l1,SynIII_loxPsym_69@0,S000000631;S000000635;S000000638,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0003729094931161,0.0003729094931161,True,,0.0,1.977648265052891e-05,True,final_pair_activation,False,,,,,False,,996.5716034392891,
scenario_043,linear_distance,2.0,0.25,1281578188,5308,scenario_043:5308,1,2,duplication,SynIII,SynIII_loxPsym_44@0,SynIII_loxPsym_46@0,2,5,SynIII,SynIII_loxPsym_46@e1l3,SynIII_loxPsym_48@0,S000000605;S000000606,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0003729094931161,0.0003729094931161,True,,0.0,4.120100552193523e-05,True,final_pair_activation,False,,,,,False,,996.5716034392891,
scenario_042,linear_distance,2.0,0.2,212422559,9221,scenario_042:9221,3,12,duplication,SynII,SynII_loxPsym_16@0,SynII_loxPsym_20@0,5,15,SynII,SynII_loxPsym_19@e3l5,SynII_loxPsym_21@0,S000000172;S000000173,2,True,False,False,True,True,,2.0,,False,True,True,False,0.0,0.0003697110554641,0.0003697110554641,True,,0.0,3.26781002230037e-05,True,final_pair_activation,False,,,,,False,,996.5678624374686,
scenario_037,linear_distance,2.0,0.09,3011066200,3378,scenario_037:3378,2,5,duplication,SynII,SynII_loxPsym_54@0,SynII_loxPsym_55@0,3,8,SynII,SynII_loxPsym_55@e2l1,SynII_loxPsym_57@0,S000000114;S000000116,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0003666459882232,0.0003666459882232,True,,0.0,1.458323298045621e-05,True,final_pair_activation,False,,,,,False,,996.5642469373828,
scenario_036,linear_distance,2.0,0.07,308999449,7611,scenario_036:7611,1,10,duplication,SynVI,SynVI_loxPsym_0@0,SynVI_loxPsym_13@0,3,12,SynVI,SynVI_loxPsym_12@e1l23,SynVI_loxPsym_14@0,S000001865,2,True,False,False,True,True,,2.0,,False,True,True,False,0.0,0.0003644119713264,0.0003644119713264,True,,0.0,1.1273403272403403e-05,True,final_pair_activation,False,,,,,False,,996.5615926355775,
scenario_032,linear_distance,1.5,0.25,2950421996,8728,scenario_032:8728,3,12,duplication,SynIII,SynIII_loxPsym_7@0,SynIII_loxPsym_8@0,4,19,SynIII,SynIII_loxPsym_7@0,SynIII_loxPsym_8@e3l1,S000000557,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0003019496516387,0.0003019496516387,True,,0.0,3.336098837429314e-05,True,final_pair_activation,False,,,,,False,,996.4799345328962,
scenario_026,linear_distance,1.5,0.09,2683194250,4412,scenario_026:4412,3,6,duplication,SynIII,SynIII_loxPsym_65@0,SynIII_loxPsym_67@0,4,10,SynIII,SynIII_loxPsym_67@e3l3,SynIII_loxPsym_69@0,S000000631;S000000635;S000000638,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0002949349159182,0.0002949349159182,True,,0.0,1.173094682898558e-05,True,final_pair_activation,False,,,,,False,,996.4697261896185,
scenario_032,linear_distance,1.5,0.25,2950421996,5122,scenario_032:5122,5,16,duplication,SynVI,SynVI_loxPsym_14@0,SynVI_loxPsym_29@0,6,18,SynVI,SynVI_loxPsym_28@e5l27,SynVI_loxPsym_30@0,S000001894,1,True,True,False,True,True,,2.0,,False,True,True,False,0.0,0.0002923647991884,0.0002923647991884,True,,0.0,3.23020033765401e-05,True,final_pair_activation,False,,,,,False,,996.4659250822444,
scenario_029,linear_distance,1.5,0.15,426479639,5938,scenario_029:5938,2,10,duplication,SynIII,SynIII_loxPsym_57@0,SynIII_loxPsym_72@0,5,19,SynIII,SynIII_loxPsym_72@e2l29,SynIII_loxPsym_74@0,S000000650;S000000653,3,True,False,False,True,True,,2.0,,False,True,True,False,0.0,0.0002921994974332,0.0002921994974332,True,,0.0,1.937024398062646e-05,True,final_pair_activation,False,,,,,False,,996.4656794646367,
scenario_020,linear_distance,1.0,0.2,3518261095,5911,scenario_020:5911,2,3,duplication,SynVI,SynVI_loxPsym_11@0,SynVI_loxPsym_18@0,3,6,SynVI,SynVI_loxPsym_18@e2l13,SynVI_loxPsym_19@0,S000001872,1,True,True,False,True,True,,1.0,,False,True,True,False,0.0,0.0002758321306156,0.0002758321306156,True,,0.0,2.4380309638468982e-05,True,final_pair_activation,False,,,,,False,,996.4406448540672,
scenario_022,linear_distance,1.0,0.3,1561271711,3925,scenario_022:3925,1,1,duplication,SynII,SynII_loxPsym_173@0,SynII_loxPsym_260@0,3,11,SynII,SynII_loxPsym_235@e1l123,SynII_loxPsym_236@e1l125,S000000447,2,True,False,False,True,True,,1.0,,False,False,False,False,0.0,0.0002218834119042,0.0002218834119042,True,,0.0,0.0,False,final_pair_activation,False,,,,,False,,996.3461248354103,
