scenario,model_key,alpha,p_event,seed,trajectory_id,trajectory_key,precursor_event_id,precursor_step,precursor_event_type,precursor_chromosome,precursor_left_lox_copy_id,precursor_right_lox_copy_id,terminal_event_id,terminal_step,terminal_chromosome,terminal_left_lox_copy_id,terminal_right_lox_copy_id,terminal_missing_gate_genes,events_until_failure,same_chromosome_as_terminal,immediate_predecessor,final_pair_exists_before,final_pair_exists_after,final_pair_activated,final_pair_distance_before,final_pair_distance_after,distance_change,final_pair_lethal_before,final_pair_lethal_after,final_pair_lethality_activated,final_pair_buffered_after,proposal_probability_before,proposal_probability_after,proposal_probability_change,proposal_probability_increased,proposal_log2_ratio_nonzero,final_pair_lethal_hazard_before,final_pair_lethal_hazard_after,final_pair_lethal_hazard_increased,cascade_mechanism,total_hazard_sampled,total_lethal_pair_probability_before,total_lethal_pair_probability_after,total_lethal_hazard_before,total_lethal_hazard_after,total_lethal_hazard_increased,total_hazard_log2_ratio_nonzero,cascade_score,proposal_probability_fold_change_nonzero
scenario_044,linear_distance,2.0,0.3,3171143693,71,scenario_044:71,2,5,inversion,SynIII,SynIII_loxPsym_26@0,SynIII_loxPsym_28@0,7,13,SynIII,SynIII_loxPsym_27@0,SynIII_loxPsym_28@0,S000000522,5,True,False,True,True,False,1.0,1.0,0.0,False,True,True,False,0.0008444639972825,0.0008444639972825,0.0,False,0.0,0.0,0.0001119609979066,True,lethal_span_activation,False,,,,,False,,0.0,1.0
scenario_037,linear_distance,2.0,0.09,3011066200,9015,scenario_037:9015,1,4,inversion,SynIII,SynIII_loxPsym_67@0,SynIII_loxPsym_69@0,2,10,SynIII,SynIII_loxPsym_67@0,SynIII_loxPsym_68@0,S000000631;S000000635;S000000638,1,True,True,True,True,False,1.0,1.0,0.0,False,True,True,False,0.0008426387205285,0.0008426387205285,0.0,False,0.0,0.0,3.3515699542687984e-05,True,lethal_span_activation,False,,,,,False,,0.0,1.0
scenario_040,linear_distance,2.0,0.15,3319947148,2766,scenario_040:2766,1,7,inversion,SynII,SynII_loxPsym_60@0,SynII_loxPsym_63@0,2,16,SynII,SynII_loxPsym_61@0,SynII_loxPsym_63@0,S000000110,1,True,True,True,True,False,2.0,1.0,-1.0,False,True,True,False,0.0003745060980127,0.0008426387205285,0.0004681326225158,True,1.1699250014423124,0.0,5.585949923781331e-05,True,lethal_span_activation,False,,,,,False,,1.1699250014423124,2.25
scenario_040,linear_distance,2.0,0.15,3319947148,5473,scenario_040:5473,1,1,inversion,SynII,SynII_loxPsym_101@0,SynII_loxPsym_109@0,4,18,SynII,SynII_loxPsym_101@0,SynII_loxPsym_108@0,S000000253,3,True,False,True,True,False,7.0,1.0,-6.0,False,True,True,False,5.2664920033036405e-05,0.0008426387205285,0.0007899738004955,True,4.0,0.0,5.585949923781331e-05,True,lethal_span_activation,False,,,,,False,,4.0,16.0
scenario_041,linear_distance,2.0,0.18,1764842416,2675,scenario_041:2675,2,8,inversion,SynII,SynII_loxPsym_159@0,SynII_loxPsym_162@0,3,10,SynII,SynII_loxPsym_160@0,SynII_loxPsym_162@0,S000000328,1,True,True,True,True,False,2.0,1.0,-1.0,False,True,True,False,0.0003745060980127,0.0008426387205285,0.0004681326225158,True,1.1699250014423124,0.0,6.703139908537597e-05,True,lethal_span_activation,False,,,,,False,,1.1699250014423124,2.25
scenario_042,linear_distance,2.0,0.2,212422559,8601,scenario_042:8601,3,14,inversion,SynII,SynII_loxPsym_3@0,SynII_loxPsym_5@0,5,19,SynII,SynII_loxPsym_4@0,SynII_loxPsym_5@0,S000000201,2,True,False,True,True,False,1.0,1.0,0.0,False,True,True,False,0.0008426387205285,0.0008426387205285,0.0,False,0.0,0.0,7.447933231708442e-05,True,lethal_span_activation,False,,,,,False,,0.0,1.0
scenario_043,linear_distance,2.0,0.25,1281578188,2539,scenario_043:2539,1,4,inversion,SynII,SynII_loxPsym_188@0,SynII_loxPsym_190@0,3,9,SynII,SynII_loxPsym_189@0,SynII_loxPsym_190@0,S000000371,2,True,False,True,True,False,1.0,1.0,0.0,False,True,True,False,0.0008426387205285,0.0008426387205285,0.0,False,0.0,0.0,9.309916539635552e-05,True,lethal_span_activation,False,,,,,False,,0.0,1.0
scenario_044,linear_distance,2.0,0.3,3171143693,4438,scenario_044:4438,1,6,inversion,SynII,SynII_loxPsym_209@0,SynII_loxPsym_212@0,3,9,SynII,SynII_loxPsym_210@0,SynII_loxPsym_212@0,S000000400;S000000402,2,True,False,True,True,False,2.0,1.0,-1.0,False,True,True,False,0.0003745060980127,0.0008426387205285,0.0004681326225158,True,1.1699250014423124,0.0,0.0001117189984756,True,lethal_span_activation,False,,,,,False,,1.1699250014423124,2.25
scenario_044,linear_distance,2.0,0.3,3171143693,8926,scenario_044:8926,2,8,duplication,SynVI,SynVI_loxPsym_60@0,SynVI_loxPsym_64@0,3,9,SynVI,SynVI_loxPsym_64@e2l7,SynVI_loxPsym_65@0,S000001948,1,True,True,False,True,True,,1.0,,False,True,True,False,0.0,0.0008408499837278,0.0008408499837278,True,,0.0,0.0001114818435965,True,final_pair_activation,False,,,,,False,,996.9247185201134,
scenario_039,linear_distance,2.0,0.12,4216611858,9072,scenario_039:9072,2,8,duplication,SynIII,SynIII_loxPsym_24@0,SynIII_loxPsym_26@0,3,16,SynIII,SynIII_loxPsym_26@e2l3,SynIII_loxPsym_27@0,S000000522,1,True,True,False,True,True,,1.0,,False,True,True,False,0.0,0.0008390463595114,0.0008390463595114,True,,0.0,4.449708596369005e-05,True,final_pair_activation,False,,,,,False,,996.9237859574005,
