scenario,model_key,alpha,p_event,seed,trajectory_id,trajectory_key,precursor_event_id,precursor_step,precursor_event_type,precursor_chromosome,precursor_left_lox_copy_id,precursor_right_lox_copy_id,terminal_event_id,terminal_step,terminal_chromosome,terminal_left_lox_copy_id,terminal_right_lox_copy_id,terminal_missing_gate_genes,events_until_failure,same_chromosome_as_terminal,immediate_predecessor,final_pair_exists_before,final_pair_exists_after,final_pair_activated,final_pair_distance_before,final_pair_distance_after,distance_change,final_pair_lethal_before,final_pair_lethal_after,final_pair_lethality_activated,final_pair_buffered_after,proposal_probability_before,proposal_probability_after,proposal_probability_change,proposal_probability_increased,proposal_log2_ratio_nonzero,final_pair_lethal_hazard_before,final_pair_lethal_hazard_after,final_pair_lethal_hazard_increased,cascade_mechanism,total_hazard_sampled,total_lethal_pair_probability_before,total_lethal_pair_probability_after,total_lethal_hazard_before,total_lethal_hazard_after,total_lethal_hazard_increased,total_hazard_log2_ratio_nonzero,cascade_score,proposal_probability_fold_change_nonzero
scenario_040,linear_distance,2.0,0.15,3319947148,7907,scenario_040:7907,2,13,inversion,SynII,SynII_loxPsym_205@0,SynII_loxPsym_270@0,3,15,SynII,SynII_loxPsym_208@0,SynII_loxPsym_270@0,S000000394;S000000396;S000000397,1,True,True,True,True,False,62.0,3.0,-59.0,True,True,False,False,8.492201768995542e-07,0.0002106596801321,0.0002098104599552,True,7.954559846999833,5.6295791622890724e-08,1.3964874809453327e-05,True,distance_shortening,False,,,,,False,,7.954559846999833,248.06249999999994
scenario_033,linear_distance,1.5,0.3,2308636446,8940,scenario_033:8940,1,1,inversion,SynII,SynII_loxPsym_0@0,SynII_loxPsym_111@0,6,20,SynII,SynII_loxPsym_1@0,SynII_loxPsym_112@0,S000000259,5,True,False,True,True,False,111.0,2.0,-109.0,True,True,False,False,1.326642333762911e-06,0.0003026209593046,0.0003012943169708,True,7.833588632004672,1.7588932154742233e-07,4.012218957851329e-05,True,distance_shortening,False,,,,,False,,7.833588632004672,228.11043459335744
scenario_031,linear_distance,1.5,0.2,770846889,3069,scenario_031:3069,2,11,inversion,SynII,SynII_loxPsym_24@0,SynII_loxPsym_161@0,4,13,SynII,SynII_loxPsym_24@0,SynII_loxPsym_158@0,S000000325;S000000328,2,True,False,True,True,False,132.0,3.0,-129.0,True,True,False,False,1.0300187061429124e-06,0.0001974843052378,0.0001964542865316,True,7.582923653251784,9.104151475439954e-08,1.7455285211661846e-05,True,distance_shortening,False,,,,,False,,7.582923653251784,191.72885313640197
scenario_030,linear_distance,1.5,0.18,3754543510,2281,scenario_030:2281,1,11,inversion,SynII,SynII_loxPsym_18@0,SynII_loxPsym_103@0,2,14,SynII,SynII_loxPsym_19@0,SynII_loxPsym_104@0,S000000180,1,True,True,True,True,False,85.0,2.0,-83.0,True,True,False,False,1.971665371036484e-06,0.0003026209593046,0.0003006492939335,True,7.261953380971413,1.5684478428175837e-07,2.4073313747107973e-05,True,distance_shortening,False,,,,,False,,7.261953380971413,153.484949195775
scenario_044,linear_distance,2.0,0.3,3171143693,1722,scenario_044:1722,5,15,inversion,SynII,SynII_loxPsym_90@0,SynII_loxPsym_125@0,7,17,SynII,SynII_loxPsym_90@0,SynII_loxPsym_123@0,S000000274,2,True,False,True,True,False,33.0,2.0,-31.0,True,True,False,False,2.940625274268039e-06,0.0003777069796726,0.0003747663543983,True,7.005000681058366,3.8987492804420286e-07,5.0077268535455376e-05,True,distance_shortening,False,,,,,False,,7.005000681058366,128.4444444444444
scenario_031,linear_distance,1.5,0.2,770846889,9850,scenario_031:9850,1,3,inversion,SynII,SynII_loxPsym_76@0,SynII_loxPsym_167@0,3,14,SynII,SynII_loxPsym_74@0,SynII_loxPsym_166@0,S000000208,2,True,False,True,True,False,92.0,3.0,-89.0,True,True,False,False,1.7533009288882477e-06,0.0001965580788565,0.0001948047779276,True,6.808738216662047,1.549711392951484e-07,1.7373417715223886e-05,True,distance_shortening,False,,,,,False,,6.808738216662047,112.10744009654313
scenario_032,linear_distance,1.5,0.25,2950421996,4222,scenario_032:4222,1,9,inversion,SynII,SynII_loxPsym_9@0,SynII_loxPsym_99@0,2,11,SynII,SynII_loxPsym_8@0,SynII_loxPsym_97@0,S000000242,1,True,True,True,True,False,89.0,3.0,-86.0,True,True,False,False,1.8416925087220471e-06,0.0001965580788565,0.0001947163863478,True,6.737779644494512,2.03479891561578e-07,2.1716772144029857e-05,True,distance_shortening,False,,,,,False,,6.737779644494512,106.72687103068277
scenario_038,linear_distance,2.0,0.1,4101281670,9631,scenario_038:9631,1,2,inversion,SynII,SynII_loxPsym_15@0,SynII_loxPsym_170@0,3,13,SynII,SynII_loxPsym_17@0,SynII_loxPsym_184@0,S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359,2,True,False,True,True,False,167.0,16.0,-151.0,True,True,False,False,1.194215873764998e-07,1.166281966129526e-05,1.154339807391876e-05,True,6.609709163056841,5.277730464646005e-09,5.154279053085426e-07,True,distance_shortening,False,,,,,False,,6.609709163056841,97.66089965397921
scenario_044,linear_distance,2.0,0.3,3171143693,5168,scenario_044:5168,3,8,inversion,SynII,SynII_loxPsym_155@0,SynII_loxPsym_210@0,5,12,SynII,SynII_loxPsym_152@0,SynII_loxPsym_208@0,S000000400;S000000402,2,True,False,True,True,False,56.0,5.0,-51.0,True,True,False,False,1.0374130138856048e-06,9.362652450317582e-05,9.258911148929022e-05,True,6.49585502688717,1.3754262662434798e-07,1.24132220528474e-05,True,distance_shortening,False,,,,,False,,6.49585502688717,90.24999999999997
scenario_040,linear_distance,2.0,0.15,3319947148,4645,scenario_040:4645,1,6,inversion,SynII,SynII_loxPsym_126@0,SynII_loxPsym_169@0,2,7,SynII,SynII_loxPsym_123@0,SynII_loxPsym_168@0,S000000274;S000000340,1,True,True,True,True,False,45.0,4.0,-41.0,True,True,False,False,1.5928898308668857e-06,0.0001348221952845,0.0001332293054537,True,6.403267722339301,1.0559451651760553e-07,8.937519878050129e-06,True,distance_shortening,False,,,,,False,,6.403267722339301,84.63999999999999
scenario_044,linear_distance,2.0,0.3,3171143693,9697,scenario_044:9697,2,3,inversion,SynIII,SynIII_loxPsym_26@0,SynIII_loxPsym_71@0,3,5,SynIII,SynIII_loxPsym_28@0,SynIII_loxPsym_73@0,S000000522;S000000648;S000000650;S000000653,1,True,True,True,True,False,45.0,4.0,-41.0,True,True,False,False,1.606353328147018e-06,0.0001359617456943,0.0001343553923662,True,6.403267722339301,2.1297405477165837e-07,1.8026123995873163e-05,True,distance_shortening,False,,,,,False,,6.403267722339301,84.63999999999999
scenario_043,linear_distance,2.0,0.25,1281578188,7591,scenario_043:7591,1,9,inversion,SynII,SynII_loxPsym_23@0,SynII_loxPsym_71@0,4,13,SynII,SynII_loxPsym_19@0,SynII_loxPsym_70@0,S000000169;S000000170;S000000172;S000000173,3,True,False,True,True,False,51.0,5.0,-46.0,True,True,False,False,1.2465069830304475e-06,9.362652450317582e-05,9.238001752014538e-05,True,6.230954434839871,1.377206588703484e-07,1.0344351710706169e-05,True,distance_shortening,False,,,,,False,,6.230954434839871,75.11111111111107
scenario_043,linear_distance,2.0,0.25,1281578188,9416,scenario_043:9416,4,16,inversion,SynII,SynII_loxPsym_84@0,SynII_loxPsym_137@0,5,19,SynII,SynII_loxPsym_85@0,SynII_loxPsym_142@0,S000000291;S000000292;S000000293;S000000295,1,True,True,True,True,False,57.0,6.0,-51.0,True,True,False,False,1.0019485380839268e-06,6.878683432886387e-05,6.778488579077993e-05,True,6.101252146139936,1.1070055338448932e-07,7.599931869090245e-06,True,distance_shortening,False,,,,,False,,6.101252146139936,68.6530612244898
scenario_032,linear_distance,1.5,0.25,2950421996,9916,scenario_032:9916,1,7,inversion,SynII,SynII_loxPsym_161@0,SynII_loxPsym_209@0,4,15,SynII,SynII_loxPsym_162@0,SynII_loxPsym_210@0,S000000400;S000000402,3,True,False,True,True,False,48.0,2.0,-46.0,True,True,False,False,4.584444987907932e-06,0.0003026209593046,0.0002980365143166,True,6.044621015091078,5.065136360123582e-07,3.343515798209441e-05,True,distance_shortening,False,,,,,False,,6.044621015091078,66.01038077734721
scenario_020,linear_distance,1.0,0.2,3518261095,932,scenario_020:932,1,1,inversion,SynII,SynII_loxPsym_36@0,SynII_loxPsym_232@0,4,11,SynII,SynII_loxPsym_38@0,SynII_loxPsym_232@0,S000000146,3,True,False,True,True,False,194.0,2.0,-192.0,True,True,False,False,2.865991787972127e-06,0.0001862894662181,0.0001834234744302,True,6.022367813028454,2.5331989807032665e-07,1.6465793374571232e-05,True,distance_shortening,False,,,,,False,,6.022367813028454,65.0
scenario_042,linear_distance,2.0,0.2,212422559,7708,scenario_042:7708,1,4,inversion,SynIII,SynIII_loxPsym_22@0,SynIII_loxPsym_75@0,2,5,SynIII,SynIII_loxPsym_19@0,SynIII_loxPsym_72@0,S000000650;S000000653,1,True,True,True,True,False,53.0,6.0,-47.0,True,True,False,False,1.1558830185577263e-06,6.878683432886387e-05,6.763095131030614e-05,True,5.895065160211729,1.0216643664894983e-07,6.079945495272196e-06,True,distance_shortening,False,,,,,False,,5.895065160211729,59.51020408163266
scenario_026,linear_distance,1.5,0.09,2683194250,7598,scenario_026:7598,2,9,inversion,SynII,SynII_loxPsym_40@0,SynII_loxPsym_193@0,3,19,SynII,SynII_loxPsym_31@0,SynII_loxPsym_192@0,S000000146,1,True,True,True,True,False,161.0,10.0,-151.0,True,True,False,False,7.626203042878929e-07,4.310144774084455e-05,4.233882743655666e-05,True,5.820627576370991,3.0332991305731624e-08,1.714347011529259e-06,True,distance_shortening,False,,,,,False,,5.820627576370991,56.51757171754181
scenario_040,linear_distance,2.0,0.15,3319947148,5161,scenario_040:5161,1,4,inversion,SynII,SynII_loxPsym_20@0,SynII_loxPsym_110@0,2,11,SynII,SynII_loxPsym_16@0,SynII_loxPsym_103@0,S000000180;S000000253,1,True,True,True,True,False,87.0,11.0,-76.0,True,True,False,False,4.352472730003009e-07,2.340663112579396e-05,2.297138385279365e-05,True,5.748938235832282,2.8853047126969685e-08,1.551652756605925e-06,True,distance_shortening,False,,,,,False,,5.748938235832282,53.77777777777776
