scenario,model_key,alpha,p_event,seed,trajectory_id,trajectory_key,precursor_event_id,precursor_step,precursor_event_type,precursor_chromosome,precursor_left_lox_copy_id,precursor_right_lox_copy_id,terminal_event_id,terminal_step,terminal_chromosome,terminal_left_lox_copy_id,terminal_right_lox_copy_id,terminal_missing_gate_genes,events_until_failure,same_chromosome_as_terminal,immediate_predecessor,final_pair_exists_before,final_pair_exists_after,final_pair_activated,final_pair_distance_before,final_pair_distance_after,distance_change,final_pair_lethal_before,final_pair_lethal_after,final_pair_lethality_activated,final_pair_buffered_after,proposal_probability_before,proposal_probability_after,proposal_probability_change,proposal_probability_increased,proposal_log2_ratio_nonzero,final_pair_lethal_hazard_before,final_pair_lethal_hazard_after,final_pair_lethal_hazard_increased,cascade_mechanism,total_hazard_sampled,total_lethal_pair_probability_before,total_lethal_pair_probability_after,total_lethal_hazard_before,total_lethal_hazard_after,total_lethal_hazard_increased,total_hazard_log2_ratio_nonzero,cascade_score,proposal_probability_fold_change_nonzero
scenario_005,linear_distance,0.5,0.1,3432696791,3818,scenario_005:3818,2,12,inversion,SynII,SynII_loxPsym_6@0,SynII_loxPsym_183@e1l257,3,13,SynII,SynII_loxPsym_85@0,SynII_loxPsym_253@0,S000000122;S000000126;S000000130;S000000131;S000000136;S000000137;S000000146;S000000169;S000000170;S000000172;S000000173;S000000180;S000000188;S000000193;S000000469,1,True,True,True,True,False,363.0,149.0,-214.0,True,True,False,False,3.632947601770252e-06,5.659319283508571e-06,2.026371681738319e-06,True,0.6394879748514078,1.605548766813543e-07,2.5010856452247585e-07,True,distance_shortening,True,0.3643250159077968,0.4360145948722556,0.0161010189006045,0.0192692758565728,True,0.2591503683789126,0.6394879748514078,1.5577761927397231
scenario_004,linear_distance,0.5,0.09,340349571,1242,scenario_004:1242,2,10,inversion,SynII,SynII_loxPsym_100@0,SynII_loxPsym_69@e1l11,5,20,SynVI,SynVI_loxPsym_52@0,SynVI_loxPsym_67@0,S000001924;S000001927;S000001933;S000001938;S000001948,3,False,False,True,True,False,15.0,15.0,0.0,True,True,False,False,1.8409660062512544e-05,1.8409660062512544e-05,0.0,False,0.0,7.322386454673533e-07,7.322386454673533e-07,False,no_direct_effect_on_final_pair,True,0.4192846255167057,0.4832666975282865,0.0166769188138793,0.0192217863228321,True,0.2048896505129283,0.0,1.0
scenario_056,partial_hic_fallback,1.0,0.03,3083522482,2319,scenario_056:2319,2,11,inversion,SynII,SynII_loxPsym_53@0,SynII_loxPsym_137@0,3,18,SynII,SynII_loxPsym_115@0,SynII_loxPsym_104@0,S000000253;S000000259,1,True,True,True,True,False,11.0,11.0,0.0,True,True,False,False,7.177188050469672e-05,7.177188050469672e-05,0.0,False,0.0,9.515682597243152e-07,9.515682597243152e-07,False,no_direct_effect_on_final_pair,True,0.4120623997045597,0.4437450852622821,0.0054632189908836,0.0058832753938586,True,0.1068683158002526,0.0,1.0
scenario_086,partial_hic_fallback,2.0,0.2,780218145,3429,scenario_086:3429,4,11,inversion,SynII,SynII_loxPsym_177@0,SynII_loxPsym_227@0,6,16,SynII,SynII_loxPsym_61@0,SynII_loxPsym_82@0,S000000100;S000000208;S000000215,2,True,False,True,True,False,21.0,21.0,0.0,True,True,False,False,4.33514705645082e-05,4.33514705645082e-05,0.0,False,0.0,3.831759096689632e-06,3.831759096689632e-06,False,no_direct_effect_on_final_pair,True,0.5342296930300453,0.5680008865346337,0.0472196089160005,0.0502045844250716,True,0.088433016827025,0.0,1.0
scenario_080,partial_hic_fallback,2.0,0.07,1316201356,1955,scenario_080:1955,2,11,inversion,SynII,SynII_loxPsym_40@0,SynII_loxPsym_131@0,3,20,SynII,SynII_loxPsym_26@0,SynII_loxPsym_71@0,S000000146;S000000208;S000000215;S000000233;S000000242;S000000253;S000000259,1,True,True,True,True,False,45.0,74.0,29.0,True,True,False,False,9.796768972892512e-06,9.688810552716923e-06,-1.079584201755874e-07,False,-0.0159864551009208,3.030716224716315e-07,2.997318342564942e-07,False,distance_lengthening,True,0.5527185934839608,0.5773461568092383,0.0170988334379353,0.0178607086638559,True,0.0628914226781285,-0.0159864551009208,0.9889802014853768
scenario_059,partial_hic_fallback,1.0,0.09,2440376121,1485,scenario_059:1485,2,15,inversion,SynII,SynII_loxPsym_178@0,SynII_loxPsym_231@0,3,20,SynII,SynII_loxPsym_215@0,SynII_loxPsym_203@0,S000000394;S000000396;S000000397;S000000400;S000000402,1,True,True,True,True,False,12.0,12.0,0.0,True,True,False,False,4.5075709650112326e-05,4.5075709650112326e-05,0.0,False,0.0,1.7928726801907762e-06,1.7928726801907762e-06,False,no_direct_effect_on_final_pair,True,0.4382309261292759,0.4568385410850038,0.017430502174466,0.0181706144157726,True,0.0599930690124742,0.0,1.0
scenario_055,partial_hic_fallback,0.5,0.3,1407851898,2543,scenario_055:2543,5,12,duplication,SynII,SynII_loxPsym_240@0,SynII_loxPsym_263@0,7,20,SynII,SynII_loxPsym_186@0,SynII_loxPsym_214@0,S000000415,2,True,False,True,True,False,208.0,208.0,0.0,True,True,False,False,7.228224608164634e-06,6.885320515779029e-06,-3.429040923856056e-07,False,-0.0701175226295237,9.583348050686213e-07,9.12871784154412e-07,False,proposal_space_renormalization,True,0.3525346038077815,0.3674711323120732,0.0467398564840472,0.048720176121098,True,0.0598660442323397,-0.0701175226295237,0.9525603988566878
scenario_009,linear_distance,0.5,0.2,2160132656,3618,scenario_009:3618,2,8,inversion,SynII,SynII_loxPsym_71@0,SynII_loxPsym_114@0,3,19,SynII,SynII_loxPsym_32@0,SynII_loxPsym_214@0,S000000100;S000000110;S000000114;S000000116;S000000122;S000000126;S000000130;S000000131;S000000136;S000000137;S000000146;S000000208;S000000215;S000000233;S000000242,1,True,True,True,True,False,182.0,182.0,0.0,True,True,False,False,5.761278617805905e-06,5.761278617805905e-06,0.0,False,0.0,5.092291325963625e-07,5.092291325963625e-07,False,no_direct_effect_on_final_pair,True,0.4487499418725242,0.46568997498496,0.039664206300691,0.0411615055879254,True,0.053458073204523,0.0,1.0
scenario_010,linear_distance,0.5,0.25,1175439774,1909,scenario_010:1909,3,4,inversion,SynII,SynII_loxPsym_42@e2l49,SynII_loxPsym_130@0,5,11,SynIII,SynIII_loxPsym_33@0,SynIII_loxPsym_58@0,S000000510;S000000605;S000000606,2,False,False,True,True,False,25.0,25.0,0.0,True,True,False,False,2.0129736578154403e-05,2.0129736578154403e-05,0.0,False,0.0,2.2240393533056206e-06,2.2240393533056206e-06,False,no_direct_effect_on_final_pair,True,0.6959397719123084,0.720942592861718,0.0768910926506233,0.0796535360397478,True,0.0509219276548514,0.0,1.0
scenario_088,partial_hic_fallback,2.0,0.3,2700327069,7155,scenario_088:7155,3,8,inversion,SynII,SynII_loxPsym_192@0,SynII_loxPsym_247@0,7,15,SynII,SynII_loxPsym_98@0,SynII_loxPsym_79@0,S000000233,4,True,False,True,True,False,19.0,19.0,0.0,True,True,False,False,4.7714315061713126e-05,4.7714315061713126e-05,0.0,False,0.0,6.326074700556419e-06,6.326074700556419e-06,False,no_direct_effect_on_final_pair,True,0.6357105093709321,0.6568958738802604,0.0842839756791617,0.0870927805057884,True,0.0472947648450355,0.0,1.0
