"scenario_index","return_code","elapsed_seconds","log_file","command"
"1","0","99.4770749999998","outputs/revised_model/main_run/logs/scenario_001.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""1"",""--reuse-gate-files""]"
"2","0","132.42892980000033","outputs/revised_model/main_run/logs/scenario_002.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""2"",""--reuse-gate-files""]"
"3","0","161.0637931000001","outputs/revised_model/main_run/logs/scenario_003.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""3"",""--reuse-gate-files""]"
"4","0","182.24933500000043","outputs/revised_model/main_run/logs/scenario_004.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""4"",""--reuse-gate-files""]"
"5","0","192.30099169999997","outputs/revised_model/main_run/logs/scenario_005.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""5"",""--reuse-gate-files""]"
"6","0","207.78624160000072","outputs/revised_model/main_run/logs/scenario_006.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""6"",""--reuse-gate-files""]"
"7","0","221.6176863000001","outputs/revised_model/main_run/logs/scenario_007.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""7"",""--reuse-gate-files""]"
"8","0","230.75828050000015","outputs/revised_model/main_run/logs/scenario_008.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""8"",""--reuse-gate-files""]"
"9","0","238.2179505999993","outputs/revised_model/main_run/logs/scenario_009.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""9"",""--reuse-gate-files""]"
"10","0","244.8653742000006","outputs/revised_model/main_run/logs/scenario_010.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""10"",""--reuse-gate-files""]"
"11","0","253.9980827999998","outputs/revised_model/main_run/logs/scenario_011.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""11"",""--reuse-gate-files""]"
"12","0","98.77999209999962","outputs/revised_model/main_run/logs/scenario_012.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""12"",""--reuse-gate-files""]"
