model_key,model_name,alpha,p_event,seed,initialized_trajectories,sequential_steps,accepted_events,gate_passing_trajectories,gate_failing_trajectories,essentiality_gate_passing_fraction,essentiality_gate_failing_fraction,deletion_events,inversion_events,duplication_events,direct_hic_events,distance_fallback_events,uniform_events,structural_unique_endpoints_full_sample,structural_shannon_full_sample,structural_effective_shannon_full_sample,structural_inverse_simpson_full_sample,orf_unique_endpoints_full_sample,orf_shannon_full_sample,orf_effective_shannon_full_sample,orf_inverse_simpson_full_sample,top_missing_gate_genes,elapsed_seconds,analysis_family,gate_name,robustness_index
linear_distance,linear-distance sampling,2.0,0.09,202606,10000,20,15867,7483,2517,0.7483,0.2517,7097,6370,2400,0,15867,0,5466,7.400310580229233,1636.4926133269787,26.90496654614469,2655,4.670091082147133,106.7074611345192,4.286639632536708,S000000110:112;S000000283:103;S000000284:103;S000000291:102;S000000292:102;S000000293:102;S000000259:102;S000000122:101;S000000126:101;S000000295:99;S000000116:99;S000000253:97;S000000233:96;S000000114:95;S000000136:95;S000000137:95;S000000130:94;S000000131:94;S000000340:94;S000000215:93,85.5073220000013,five_seed_robustness,strict,1
linear_distance,linear-distance sampling,2.0,0.09,202607,10000,20,15497,7533,2467,0.7533,0.2467,6773,6351,2373,0,15497,0,5413,7.316911412930537,1505.5467690971084,24.1942086797323,2573,4.5667958236458,96.23526048720193,4.091399070124924,S000000396:107;S000000397:107;S000000356:105;S000000357:105;S000000358:105;S000000359:105;S000000110:104;S000000306:104;S000000100:104;S000000325:103;S000000122:103;S000000371:102;S000000394:102;S000000126:102;S000000415:101;S000000328:99;S000000344:98;S000000346:98;S000000347:98;S000000291:98,84.56836440000006,five_seed_robustness,strict,2
linear_distance,linear-distance sampling,2.0,0.09,202608,10000,20,15707,7541,2459,0.7541,0.2459,6979,6382,2346,0,15707,0,5490,7.379771674843453,1603.22366974403,25.90731273960651,2619,4.593786830421143,98.86811896790532,4.126666446545593,S000000313:118;S000000314:118;S000000325:111;S000000328:108;S000000371:108;S000000291:106;S000000292:106;S000000293:106;S000000253:106;S000000306:105;S000000356:104;S000000357:104;S000000358:104;S000000359:104;S000000340:104;S000000259:100;S000000242:100;S000000215:100;S000000344:99;S000000346:99,84.93015299999934,five_seed_robustness,strict,3
linear_distance,linear-distance sampling,2.0,0.09,202609,10000,20,15717,7532,2468,0.7532,0.2468,6870,6375,2472,0,15717,0,5488,7.36505564145124,1579.8033266214134,25.331936596731616,2643,4.636455021768228,103.17793497116376,4.20925550572999,S000000371:128;S000000325:114;S000000340:113;S000000344:113;S000000346:113;S000000347:113;S000000356:112;S000000357:112;S000000358:112;S000000359:112;S000000328:107;S000000283:107;S000000284:107;S000000233:104;S000000114:104;S000000116:104;S000000306:103;S000000215:100;S000000208:99;S000000242:99,86.57561189999979,five_seed_robustness,strict,4
linear_distance,linear-distance sampling,2.0,0.09,202610,10000,20,15566,7493,2507,0.7493,0.2507,6933,6258,2375,0,15566,0,5374,7.273354615091948,1441.3776189817172,22.88409396878604,2619,4.622070485790873,101.70439177911156,4.188564620554574,S000000130:105;S000000131:105;S000000110:98;S000000114:97;S000000126:96;S000000328:96;S000000274:94;S000000259:93;S000000116:93;S000000344:93;S000000346:93;S000000347:93;S000000136:92;S000000137:92;S000000283:92;S000000284:92;S000000415:92;S000000340:90;S000000233:89;S000000400:89,87.11982230000103,five_seed_robustness,strict,5
linear_distance,linear-distance sampling,2.0,0.12,202606,10000,20,20117,6735,3265,0.6735,0.3265,8915,8131,3071,0,20117,0,5676,7.997009440876416,2972.0565726736445,77.02861388240288,3060,5.484860147173145,241.0152349790046,6.635553399629046,S000000110:144;S000000306:137;S000000291:133;S000000292:133;S000000293:133;S000000356:128;S000000357:128;S000000358:128;S000000359:128;S000000114:127;S000000215:125;S000000295:123;S000000122:123;S000000116:122;S000000208:121;S000000340:121;S000000371:119;S000000283:118;S000000284:118;S000007595:118,103.92735360000006,five_seed_robustness,strict,6
linear_distance,linear-distance sampling,2.0,0.12,202607,10000,20,19953,6872,3128,0.6872,0.3128,8820,8094,3039,0,19953,0,5777,7.991154674502012,2954.70671503095,72.8306051380754,3103,5.517711964897538,249.0645163964948,6.7775599489993645,S000000274:142;S000000259:140;S000000283:133;S000000284:133;S000000253:133;S000000306:132;S000000242:130;S000000313:128;S000000314:128;S000000295:127;S000000291:125;S000000292:125;S000000293:125;S000000100:122;S000000356:122;S000000357:122;S000000358:122;S000000359:122;S000000122:119;S000000344:118,104.2547986999998,five_seed_robustness,strict,7
linear_distance,linear-distance sampling,2.0,0.12,202608,10000,20,20133,6837,3163,0.6837,0.3163,8883,8164,3086,0,20133,0,5766,7.990374676615134,2952.402948620146,72.64034268469499,3099,5.521963177096802,250.12559634696103,6.801108411205977,S000000325:138;S000000283:136;S000000284:136;S000000274:134;S000000291:132;S000000292:132;S000000293:132;S000000295:129;S000000371:128;S000000328:127;S000000340:125;S000000208:124;S000000259:122;S000000313:121;S000000314:121;S000000356:120;S000000357:120;S000000358:120;S000000359:120;S000000306:120,104.19843700000092,five_seed_robustness,strict,8
linear_distance,linear-distance sampling,2.0,0.12,202609,10000,20,20054,6780,3220,0.678,0.322,8869,8105,3080,0,20054,0,5747,8.008883022790648,3007.555864656347,76.47888729910493,3083,5.492679201983397,242.90713310012785,6.6580650992270165,S000000371:137;S000000328:135;S000000215:133;S000000325:132;S000000356:131;S000000357:131;S000000358:131;S000000359:131;S000000340:128;S000000208:128;S000000283:127;S000000284:127;S000000313:126;S000000314:126;S000000110:124;S000000233:122;S000000116:121;S000000344:120;S000000346:120;S000000347:120,124.61549819999892,five_seed_robustness,strict,9
linear_distance,linear-distance sampling,2.0,0.12,202610,10000,20,20011,6795,3205,0.6795,0.3205,8793,8110,3108,0,20011,0,5705,7.969101050984202,2890.258001462331,70.69530846882549,3023,5.413429702414584,224.3998942551249,6.345369629399665,S000000283:149;S000000284:149;S000000274:126;S000000130:125;S000000131:125;S000000259:123;S000000291:123;S000000292:123;S000000293:123;S000000313:122;S000000314:122;S000000242:122;S000000253:121;S000000136:121;S000000137:121;S000000126:120;S000000233:116;S000000328:116;S000000306:114;S000000295:114,143.9703370999996,five_seed_robustness,strict,10
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,202606,10000,20,14194,5765,4235,0.5765,0.4235,6269,5748,2177,12617,1577,0,4133,6.744934237206579,849.7432433505049,15.100461575298942,1988,3.8486181324550897,46.928169889991416,2.9997052212749367,S000000371:854;S000000356:798;S000000357:798;S000000358:798;S000000359:798;S000000328:779;S000000325:776;S000000215:776;S000000242:766;S000000208:761;S000000306:753;S000000313:750;S000000314:750;S000000233:749;S000000100:748;S000000344:747;S000000346:747;S000000347:747;S000000340:742;S000000253:734,182.31422660000132,five_seed_robustness,strict,11
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,202607,10000,20,13951,5874,4126,0.5874,0.4126,6206,5693,2052,12365,1586,0,4122,6.686739546515929,801.70406740883,14.278048869305564,1896,3.668133183297895,39.17869810084986,2.7981513839075225,S000000371:841;S000000242:778;S000000325:776;S000000328:770;S000000356:769;S000000357:769;S000000358:769;S000000359:769;S000000291:758;S000000292:758;S000000293:758;S000000306:758;S000000295:756;S000000313:756;S000000314:756;S000000259:754;S000000344:753;S000000346:753;S000000347:753;S000000233:753,180.39227559999927,five_seed_robustness,strict,12
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,202608,10000,20,14161,5888,4112,0.5888,0.4112,6207,5782,2172,12567,1594,0,4182,6.726952874114732,834.6002553519851,14.70315679473837,1990,3.731659106924451,41.74831565642887,2.8438480561765176,S000000371:826;S000000242:771;S000000313:770;S000000314:770;S000000306:763;S000000253:762;S000000356:755;S000000357:755;S000000358:755;S000000359:755;S000000325:754;S000000328:753;S000000283:750;S000000284:750;S000000295:749;S000000259:743;S000000274:740;S000000291:738;S000000292:738;S000000293:738,142.59756779999952,five_seed_robustness,strict,13
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,202609,10000,20,14124,5914,4086,0.5914,0.4086,6168,5745,2211,12546,1578,0,4222,6.749546196976633,853.6712760055111,14.930250586317834,1991,3.8178546336110175,45.506475459004896,2.961464229558086,S000000325:773;S000000313:767;S000000314:767;S000000371:765;S000000328:758;S000000233:746;S000000306:745;S000000356:743;S000000357:743;S000000358:743;S000000359:743;S000000295:734;S000000215:731;S000000242:731;S000000291:721;S000000292:721;S000000293:721;S000000274:707;S000000340:706;S000000344:706,130.6720527000016,five_seed_robustness,strict,14
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,202610,10000,20,13984,5829,4171,0.5829,0.4171,6153,5650,2181,12427,1557,0,4128,6.678165119709526,794.8593014707106,14.09714752298648,1928,3.7433148825740807,42.23777161053929,2.885353670925612,S000000371:821;S000000306:787;S000000356:777;S000000357:777;S000000358:777;S000000359:777;S000000313:775;S000000314:775;S000000295:773;S000000328:769;S000000325:768;S000000291:762;S000000292:762;S000000293:762;S000000344:754;S000000346:754;S000000347:754;S000000215:752;S000000253:747;S000000340:747,138.80326659999992,five_seed_robustness,strict,15
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,202606,10000,20,17302,4843,5157,0.4843,0.5157,7697,6979,2626,15369,1933,0,3968,7.360526325299269,1572.6640780590844,36.58883240020402,2110,4.608294326189647,100.31290254135924,4.295152932989669,S000000371:1039;S000000356:973;S000000357:973;S000000358:973;S000000359:973;S000000328:963;S000000325:953;S000000215:939;S000000306:932;S000000242:932;S000000313:930;S000000314:930;S000000344:924;S000000346:924;S000000347:924;S000000340:921;S000000208:917;S000000253:916;S000000259:899;S000000291:898,148.26457730000038,five_seed_robustness,strict,16
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,202607,10000,20,17211,4881,5119,0.4881,0.5119,7660,7015,2536,15277,1934,0,3971,7.355608542869546,1564.949044265699,36.34186043318888,2002,4.425598423081027,83.56279816982088,3.9440690617983343,S000000371:1051;S000000325:971;S000000356:968;S000000357:968;S000000358:968;S000000359:968;S000000313:966;S000000314:966;S000000328:963;S000000306:946;S000000344:933;S000000346:933;S000000347:933;S000000242:930;S000000340:928;S000000295:926;S000000291:921;S000000292:921;S000000293:921;S000000259:908,119.144030200001,five_seed_robustness,strict,17
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,202608,10000,20,17459,4940,5060,0.494,0.506,7652,7068,2739,15498,1961,0,4086,7.448350566167072,1717.0286831874764,41.176947011062126,2176,4.655665785364962,105.17922348035836,4.360116819599623,S000000371:999;S000000325:950;S000000328:950;S000000313:936;S000000314:936;S000000356:934;S000000357:934;S000000358:934;S000000359:934;S000000242:933;S000000306:926;S000000253:918;S000000295:910;S000000259:902;S000000291:900;S000000292:900;S000000293:900;S000000274:897;S000000233:896;S000000215:895,121.747769900001,five_seed_robustness,strict,18
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,202609,10000,20,17507,4962,5038,0.4962,0.5038,7690,7085,2732,15488,2019,0,4103,7.459969335865344,1737.094790023607,41.86622637723649,2140,4.6963004830946105,109.54117249384892,4.512359143662376,S000000371:985;S000000313:944;S000000314:944;S000000325:937;S000000356:936;S000000357:936;S000000358:936;S000000359:936;S000000328:926;S000000306:924;S000000233:919;S000000295:918;S000000242:916;S000000291:909;S000000292:909;S000000293:909;S000000215:903;S000000340:894;S000000344:892;S000000346:892,121.68237799999952,five_seed_robustness,strict,19
