robustness_index,analysis_family,gate_name,model_key,alpha,p_event,seed,endpoint_type,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,effective_shannon_mean,effective_shannon_ci_low,effective_shannon_ci_high,inverse_simpson_mean
1,five_seed_robustness,strict,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1880.38,91.51891971114422,85.27999539191833,98.05036105270143,4.272425427543045
1,five_seed_robustness,strict,linear_distance,2.0,0.09,202606,structural,4843,100,3642.44,1191.823727341766,1131.8708135154652,1250.2583060614174,26.75545494911994
2,five_seed_robustness,strict,linear_distance,2.0,0.09,202607,orf_copy_number,4843,100,1820.4,83.30407156497324,76.84101627612716,88.48159816674155,4.092441144602062
2,five_seed_robustness,strict,linear_distance,2.0,0.09,202607,structural,4843,100,3590.22,1101.0327243512431,1034.3173777852558,1159.0090373249861,24.20205060935923
3,five_seed_robustness,strict,linear_distance,2.0,0.09,202608,orf_copy_number,4843,100,1849.24,85.35996312624607,80.09163946508554,89.96711989119993,4.125289792480657
3,five_seed_robustness,strict,linear_distance,2.0,0.09,202608,structural,4843,100,3637.34,1168.1761119511468,1112.032222173864,1226.0931120965124,25.936134890018433
4,five_seed_robustness,strict,linear_distance,2.0,0.09,202609,orf_copy_number,4843,100,1867.76,88.70034805622109,83.91370925138773,94.89137873351393,4.200273510196293
4,five_seed_robustness,strict,linear_distance,2.0,0.09,202609,structural,4843,100,3630.84,1144.2156725892999,1098.2218824446295,1199.029099611729,25.16529879148865
5,five_seed_robustness,strict,linear_distance,2.0,0.09,202610,orf_copy_number,4843,100,1862.59,88.29482853938133,82.03195179233428,95.18851278988255,4.1946737592908026
5,five_seed_robustness,strict,linear_distance,2.0,0.09,202610,structural,4843,100,3578.65,1056.674443610651,1007.0351375755223,1108.9907639129833,22.832563473703175
6,five_seed_robustness,strict,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2331.16,209.28887603996478,197.22757785795406,221.76060094968426,6.64126240076534
6,five_seed_robustness,strict,linear_distance,2.0,0.12,202606,structural,4843,100,4132.17,2256.111958956043,2183.955010881401,2324.5701836695084,76.85618906476776
7,five_seed_robustness,strict,linear_distance,2.0,0.12,202607,orf_copy_number,4843,100,2325.45,215.0107484673139,203.40779219579505,225.06604213505372,6.798063550025169
7,five_seed_robustness,strict,linear_distance,2.0,0.12,202607,structural,4843,100,4123.23,2208.9047074735836,2137.433695888103,2274.386713938795,72.83796919266682
8,five_seed_robustness,strict,linear_distance,2.0,0.12,202608,orf_copy_number,4843,100,2333.98,216.39455939543691,205.96120521993598,228.9492926565582,6.81729438156164
8,five_seed_robustness,strict,linear_distance,2.0,0.12,202608,structural,4843,100,4133.69,2214.9016007832306,2148.053717342507,2293.247474762696,72.65293219014305
9,five_seed_robustness,strict,linear_distance,2.0,0.12,202609,orf_copy_number,4843,100,2332.54,211.0300484619597,200.34567006493438,223.38356822073501,6.68606327474693
9,five_seed_robustness,strict,linear_distance,2.0,0.12,202609,structural,4843,100,4154.91,2272.8414563991773,2203.9057139975275,2342.436238822394,76.79292218638503
10,five_seed_robustness,strict,linear_distance,2.0,0.12,202610,orf_copy_number,4843,100,2287.96,193.35976674967227,182.51475434920064,205.44435234673418,6.323948500957247
10,five_seed_robustness,strict,linear_distance,2.0,0.12,202610,structural,4843,100,4116.15,2179.6029211247082,2107.1561129507068,2257.1083488060976,70.48923975072508
11,five_seed_robustness,strict,partial_hic_fallback,2.0,0.09,202606,orf_copy_number,4843,100,1709.52,44.22265644345246,41.78126415523753,46.569678865586205,2.9972865634676746
11,five_seed_robustness,strict,partial_hic_fallback,2.0,0.09,202606,structural,4843,100,3489.72,751.0879707023545,719.859772271595,782.2724053594109,15.107175401806419
12,five_seed_robustness,strict,partial_hic_fallback,2.0,0.09,202607,orf_copy_number,4843,100,1608.78,36.78177572494176,35.22070043047214,38.5633282216068,2.793446430174055
