analysis_family,model_key,alpha,p_event,gate_name,seed,robustness_index,run_subdir
five_seed_robustness,linear_distance,2.0,0.09,strict,202606,1,robustness/scenarios/robustness_001
five_seed_robustness,linear_distance,2.0,0.09,strict,202607,2,robustness/scenarios/robustness_002
five_seed_robustness,linear_distance,2.0,0.09,strict,202608,3,robustness/scenarios/robustness_003
five_seed_robustness,linear_distance,2.0,0.09,strict,202609,4,robustness/scenarios/robustness_004
five_seed_robustness,linear_distance,2.0,0.09,strict,202610,5,robustness/scenarios/robustness_005
five_seed_robustness,linear_distance,2.0,0.12,strict,202606,6,robustness/scenarios/robustness_006
five_seed_robustness,linear_distance,2.0,0.12,strict,202607,7,robustness/scenarios/robustness_007
five_seed_robustness,linear_distance,2.0,0.12,strict,202608,8,robustness/scenarios/robustness_008
five_seed_robustness,linear_distance,2.0,0.12,strict,202609,9,robustness/scenarios/robustness_009
five_seed_robustness,linear_distance,2.0,0.12,strict,202610,10,robustness/scenarios/robustness_010
five_seed_robustness,partial_hic_fallback,2.0,0.09,strict,202606,11,robustness/scenarios/robustness_011
five_seed_robustness,partial_hic_fallback,2.0,0.09,strict,202607,12,robustness/scenarios/robustness_012
five_seed_robustness,partial_hic_fallback,2.0,0.09,strict,202608,13,robustness/scenarios/robustness_013
five_seed_robustness,partial_hic_fallback,2.0,0.09,strict,202609,14,robustness/scenarios/robustness_014
five_seed_robustness,partial_hic_fallback,2.0,0.09,strict,202610,15,robustness/scenarios/robustness_015
five_seed_robustness,partial_hic_fallback,2.0,0.12,strict,202606,16,robustness/scenarios/robustness_016
five_seed_robustness,partial_hic_fallback,2.0,0.12,strict,202607,17,robustness/scenarios/robustness_017
five_seed_robustness,partial_hic_fallback,2.0,0.12,strict,202608,18,robustness/scenarios/robustness_018
five_seed_robustness,partial_hic_fallback,2.0,0.12,strict,202609,19,robustness/scenarios/robustness_019
five_seed_robustness,partial_hic_fallback,2.0,0.12,strict,202610,20,robustness/scenarios/robustness_020
essentiality_gate_sensitivity,linear_distance,2.0,0.09,strict,202606,21,robustness/scenarios/robustness_021
essentiality_gate_sensitivity,linear_distance,2.0,0.12,strict,202606,22,robustness/scenarios/robustness_022
essentiality_gate_sensitivity,linear_distance,2.0,0.09,high_confidence,202606,23,robustness/scenarios/robustness_023
essentiality_gate_sensitivity,linear_distance,2.0,0.12,high_confidence,202606,24,robustness/scenarios/robustness_024
essentiality_gate_sensitivity,linear_distance,2.0,0.09,expanded,202606,25,robustness/scenarios/robustness_025
essentiality_gate_sensitivity,linear_distance,2.0,0.12,expanded,202606,26,robustness/scenarios/robustness_026
essentiality_gate_sensitivity,linear_distance,2.0,0.09,random_control_1,202606,27,robustness/scenarios/robustness_027
essentiality_gate_sensitivity,linear_distance,2.0,0.12,random_control_1,202606,28,robustness/scenarios/robustness_028
essentiality_gate_sensitivity,linear_distance,2.0,0.09,random_control_2,202606,29,robustness/scenarios/robustness_029
essentiality_gate_sensitivity,linear_distance,2.0,0.12,random_control_2,202606,30,robustness/scenarios/robustness_030
essentiality_gate_sensitivity,linear_distance,2.0,0.09,random_control_3,202606,31,robustness/scenarios/robustness_031
essentiality_gate_sensitivity,linear_distance,2.0,0.12,random_control_3,202606,32,robustness/scenarios/robustness_032
essentiality_gate_sensitivity,linear_distance,2.0,0.09,random_control_4,202606,33,robustness/scenarios/robustness_033
essentiality_gate_sensitivity,linear_distance,2.0,0.12,random_control_4,202606,34,robustness/scenarios/robustness_034
essentiality_gate_sensitivity,linear_distance,2.0,0.09,random_control_5,202606,35,robustness/scenarios/robustness_035
essentiality_gate_sensitivity,linear_distance,2.0,0.12,random_control_5,202606,36,robustness/scenarios/robustness_036
