synthetic_chromosome,feature_record_id,feature_type,sgd_gene_id,gene_name,source_start_bp,source_end_bp,synthetic_start_bp,synthetic_end_bp,synthetic_midpoint_bp,strand,essential_status,mapping_status,source_accession,source_file,left_lox_id,right_lox_id,segment_id,interval_mapping_status,eligible_for_gene_risk
SynII,SynII_telomere_0001,telomere,,Universal Telomere Cap,1,689,1.0,689.0,345.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_0,SynII_loxPsym_1,SynII_SEG_0001,exact_adjacent_lox,False
SynII,SynII_gene_0002,ORF,S000000202,SRO77,1019,4051,1019.0,4051.0,2535.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_3,SynII_loxPsym_4,SynII_SEG_0004,exact_adjacent_lox,True
SynII,SynII_gene_0003,ORF,S000000201,PKC1,4413,7868,4413.0,7868.0,6140.5,-,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_3,SynII_loxPsym_4,SynII_SEG_0004,exact_adjacent_lox,True
SynII,SynII_gene_0004,ORF,S000000200,SEA4,8383,11499,8383.0,11499.0,9941.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_4,SynII_loxPsym_5,SynII_SEG_0005,exact_adjacent_lox,True
SynII,SynII_gene_0005,ORF,S000000199,RTG3,12316,13776,12316.0,13776.0,13046.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_5,SynII_loxPsym_6,SynII_SEG_0006,exact_adjacent_lox,True
SynII,SynII_gene_0006,ORF,S000000198,SFT2,14338,14985,14338.0,14985.0,14661.5,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_5,SynII_loxPsym_6,SynII_SEG_0006,exact_adjacent_lox,True
SynII,SynII_gene_0007,ORF,S000028598,YBL100W-C,18734,18853,18734.0,18853.0,18793.5,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_7,SynII_loxPsym_8,SynII_SEG_0008,exact_adjacent_lox,True
SynII,SynII_rep_origin_0008,rep_origin,S000118996,ARS230;Autonomously Replicating Sequence,19249,19467,19249.0,19467.0,19358.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_7,SynII_loxPsym_8,SynII_SEG_0008,exact_adjacent_lox,False
SynII,SynII_gene_0009,ORF,S000000196,YBL100C,20485,20799,20485.0,20799.0,20642.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_8,SynII_loxPsym_9,SynII_SEG_0009,exact_adjacent_lox,True
SynII,SynII_gene_0010,ORF,S000000195,ATP1,20549,22186,20549.0,22186.0,21367.5,+,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_8,SynII_loxPsym_9,SynII_SEG_0009,exact_adjacent_lox,True
SynII,SynII_gene_0011,ORF,S000000194,BNA4,22675,24057,22675.0,24057.0,23366.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_9,SynII_loxPsym_10,SynII_SEG_0010,exact_adjacent_lox,True
SynII,SynII_gene_0012,ORF,S000000193,BRN1,24395,26659,24395.0,26659.0,25527.0,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,exact_adjacent_lox,True
SynII,SynII_gene_0013,ORF,S000000192,YBL096C,26738,27046,26738.0,27046.0,26892.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,exact_adjacent_lox,True
SynII,SynII_gene_0014,ORF,S000000191,YBL095W,26841,27653,26841.0,27653.0,27247.0,+,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,exact_adjacent_lox,True
SynII,SynII_gene_0015,ORF,S000000190,YBL094C,27329,27661,27329.0,27661.0,27495.0,-,Unknown,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,exact_adjacent_lox,True
SynII,SynII_gene_0016,ORF,S000000189,ROX3,27854,28516,27854.0,28516.0,28185.0,-,Ambiguous,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_11,SynII_loxPsym_12,SynII_SEG_0012,exact_adjacent_lox,True
SynII,SynII_gene_0017,ORF,S000000188,RPL32,29243,29968,29243.0,29968.0,29605.5,+,Essential,unique_exact,CP013608,./outputs\revised_model\input_sources\CP013608.gb,SynII_loxPsym_11,SynII_loxPsym_12,SynII_SEG_0012,exact_adjacent_lox,True
