chromosome_1,position_1,chromosome_2,position_2,contact_probability,source_file,source_sheet
synII,10000,synII,10000,1.0,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,20000,1.0,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,30000,0.4152979310931093,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,40000,0.268166103310331,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,50000,0.18426936153615361,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,60000,0.14377826392639262,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,70000,0.11721581498149816,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,80000,0.08893509340934093,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,90000,0.07815933363336333,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,100000,0.06490643554355435,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,110000,0.054357437843784384,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,120000,0.05105404100410041,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,130000,0.03967518301830183,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,140000,0.034108238823882385,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,150000,0.030290095509550953,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,160000,0.02631062806280628,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,170000,0.024318855285528553,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,180000,0.02446059495949595,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,190000,0.022282692969296927,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,200000,0.021863686368636864,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,210000,0.019013410441044105,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,220000,0.014883291129112911,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,230000,0.016093892189218924,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,240000,0.01755092169216922,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,250000,0.016936372537253726,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,260000,0.016141989398939894,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,270000,0.019661096809680968,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,280000,0.017599934393439345,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,290000,0.01619202280228023,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,300000,0.01773822682268227,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,310000,0.015186622262226222,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,320000,0.019304611861186118,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,330000,0.017390406540654064,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,340000,0.018539814781478148,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,350000,0.01794977617761776,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,360000,0.01527916391639164,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,370000,0.015200083908390838,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,380000,0.016766033703370337,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,390000,0.01568568206820682,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,400000,0.012529086408640864,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,410000,0.01520506290629063,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,420000,0.017134298629862987,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,430000,0.01265211401140114,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,440000,0.017080837283728372,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,450000,0.01690789788978898,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,460000,0.014082917991799181,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,470000,0.016949545154515452,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,480000,0.0139799501950195,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,490000,0.013161396239623962,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,500000,0.014307429942994299,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,510000,0.014297193219321934,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,520000,0.01406431483148315,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,530000,0.01653678207820782,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,540000,0.0133552101210121,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,550000,0.01365556805680568,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,560000,0.011189972897289728,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,570000,0.012318973497349735,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,580000,0.011623615361536154,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,590000,0.012493272527252726,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,600000,0.013656735173517353,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,610000,0.01333884308430843,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,620000,0.013088881688168817,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,630000,0.011121945394539454,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,640000,0.01139842804280428,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,650000,0.015319495249524952,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,660000,0.011606970797079707,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,670000,0.012310331233123313,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,680000,0.013392137913791378,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
synII,10000,synII,690000,0.013189768776877688,./data\raw\zhang_2022_gce\41467_2022_33606_MOESM4_ESM.xlsx,Fig5A
