chromosome,gene_id,gene_name,start_bp,end_bp,strand,essential_status,feature_type,source_file,source_sheet
chrIV,S000350094,YDL204W-A,94133,94285,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVI,S000350095,YFR035W-A,226260,226550,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001326,EFM4,242027,242716,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000350096,YGR016C-A,523246,523353,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000077388,ARS516,353578,353636,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000077388,S000077388,353582,353598,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000001097,CUP1-2,214533,214718,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000007117,YMRCtau1,290049,290224,-,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000007234,CPP3,521314,521469,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000028593,YAL067W-A,2480,2707,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000345037,SUT035,205766,205942,+,Unknown,ncRNA gene,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000345037,S000345037,205766,205942,+,Unknown,noncoding_exon,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000006431,YOR008C-A,342857,343081,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007257,Q0010,3952,4338,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007258,Q0017,4254,4415,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007259,Q0032,11667,11957,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,COX1,13818,26701,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,22247,23611,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,16471,18953,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,18992,20507,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,25343,26228,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,20985,21994,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,23747,25317,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
17,S000007260,S000007260,13987,16434,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000006965,YGRWdelta11,535211,535542,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000006969,YGRWdelta21,735542,735872,+,Unknown,long terminal repeat,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000028594,YAL068W-A,538,792,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrI,S000028595,YAR035C-A,192337,192417,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
