synthetic_chromosome,sgd_gene_id,gene_name,synthetic_start_bp,synthetic_end_bp,synthetic_midpoint_bp,strand,essential_status,left_lox_id,right_lox_id,segment_id,mapping_status,interval_mapping_status,eligible_for_gene_risk,source_accession,source_file
SynII,S000000202,SRO77,1019.0,4051.0,2535.0,-,Unknown,SynII_loxPsym_3,SynII_loxPsym_4,SynII_SEG_0004,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000201,PKC1,4413.0,7868.0,6140.5,-,Essential,SynII_loxPsym_3,SynII_loxPsym_4,SynII_SEG_0004,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000200,SEA4,8383.0,11499.0,9941.0,-,Unknown,SynII_loxPsym_4,SynII_loxPsym_5,SynII_SEG_0005,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000199,RTG3,12316.0,13776.0,13046.0,-,Unknown,SynII_loxPsym_5,SynII_loxPsym_6,SynII_SEG_0006,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000198,SFT2,14338.0,14985.0,14661.5,+,Ambiguous,SynII_loxPsym_5,SynII_loxPsym_6,SynII_SEG_0006,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028598,YBL100W-C,18734.0,18853.0,18793.5,+,Unknown,SynII_loxPsym_7,SynII_loxPsym_8,SynII_SEG_0008,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000196,YBL100C,20485.0,20799.0,20642.0,-,Unknown,SynII_loxPsym_8,SynII_loxPsym_9,SynII_SEG_0009,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000195,ATP1,20549.0,22186.0,21367.5,+,Ambiguous,SynII_loxPsym_8,SynII_loxPsym_9,SynII_SEG_0009,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000194,BNA4,22675.0,24057.0,23366.0,+,Unknown,SynII_loxPsym_9,SynII_loxPsym_10,SynII_SEG_0010,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000193,BRN1,24395.0,26659.0,25527.0,+,Essential,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000192,YBL096C,26738.0,27046.0,26892.0,-,Unknown,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000191,YBL095W,26841.0,27653.0,27247.0,+,Unknown,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000190,YBL094C,27329.0,27661.0,27495.0,-,Unknown,SynII_loxPsym_10,SynII_loxPsym_11,SynII_SEG_0011,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000189,ROX3,27854.0,28516.0,28185.0,-,Ambiguous,SynII_loxPsym_11,SynII_loxPsym_12,SynII_SEG_0012,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000188,RPL32,29243.0,29968.0,29605.5,+,Essential,SynII_loxPsym_11,SynII_loxPsym_12,SynII_SEG_0012,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000007228,SCS22,30197.0,30724.0,30460.5,-,Ambiguous,SynII_loxPsym_12,SynII_loxPsym_13,SynII_SEG_0013,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000187,MAP2,30941.0,32206.0,31573.5,-,Ambiguous,SynII_loxPsym_13,SynII_loxPsym_14,SynII_SEG_0014,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000186,MRP21,32403.0,32936.0,32669.5,+,Unknown,SynII_loxPsym_13,SynII_loxPsym_14,SynII_SEG_0014,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000185,AVT5,33186.0,34565.0,33875.5,+,Unknown,SynII_loxPsym_14,SynII_loxPsym_15,SynII_SEG_0015,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000184,TEL1,34699.0,43062.0,38880.5,-,Ambiguous,SynII_loxPsym_16,SynII_loxPsym_17,SynII_SEG_0017,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000183,RPL23A,43536.0,44453.0,43994.5,-,Unknown,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000182,YBL086C,44916.0,46316.0,45616.0,-,Unknown,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000181,BOI1,47590.0,50532.0,49061.0,+,Unknown,SynII_loxPsym_17,SynII_loxPsym_18,SynII_SEG_0018,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000180,CDC27,50917.0,53193.0,52055.0,-,Essential,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000179,YBL083C,53461.0,53886.0,53673.5,-,Unknown,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000178,ALG3,53499.0,54875.0,54187.0,-,Unknown,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000177,YBL081W,55614.0,56720.0,56167.0,+,Unknown,SynII_loxPsym_18,SynII_loxPsym_19,SynII_SEG_0019,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000176,PET112,56852.0,58477.0,57664.5,-,Ambiguous,SynII_loxPsym_19,SynII_loxPsym_20,SynII_SEG_0020,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000175,NUP170,59041.0,63549.0,61295.0,+,Unknown,SynII_loxPsym_19,SynII_loxPsym_20,SynII_SEG_0020,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000174,ATG8,64194.0,64547.0,64370.5,-,Ambiguous,SynII_loxPsym_20,SynII_loxPsym_21,SynII_SEG_0021,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000173,YBL077W,64713.0,65144.0,64928.5,+,Essential,SynII_loxPsym_20,SynII_loxPsym_21,SynII_SEG_0021,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000172,ILS1,64859.0,68077.0,66468.0,-,Essential,SynII_loxPsym_20,SynII_loxPsym_21,SynII_SEG_0021,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000171,SSA3,68349.0,70298.0,69323.5,-,Unknown,SynII_loxPsym_21,SynII_loxPsym_22,SynII_SEG_0022,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000170,AAR2,70572.0,71639.0,71105.5,-,Essential,SynII_loxPsym_21,SynII_loxPsym_22,SynII_SEG_0022,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000169,YBL073W,71496.0,71807.0,71651.5,+,Essential,SynII_loxPsym_21,SynII_loxPsym_22,SynII_SEG_0022,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000168,RPS8A,72407.0,73324.0,72865.5,-,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028597,YBL071C-B,73342.0,73440.0,73391.0,-,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000007587,KTI11,73862.0,74110.0,73986.0,+,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000167,YBL071C,74107.0,74415.0,74261.0,-,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000166,YBL070C,74489.0,74809.0,74649.0,-,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000165,AST1,74625.0,75914.0,75269.5,+,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028530,YBL068W-A,75678.0,75914.0,75796.0,+,Unknown,SynII_loxPsym_22,SynII_loxPsym_23,SynII_SEG_0023,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000164,PRS4,76332.0,77312.0,76822.0,+,Unknown,SynII_loxPsym_23,SynII_loxPsym_24,SynII_SEG_0024,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000163,UBP13,77625.0,79868.0,78746.5,-,Unknown,SynII_loxPsym_25,SynII_loxPsym_26,SynII_SEG_0026,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000162,SEF1,80689.0,84135.0,82412.0,-,Unknown,SynII_loxPsym_26,SynII_loxPsym_27,SynII_SEG_0027,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000161,YBL065W,83983.0,84327.0,84155.0,+,Unknown,SynII_loxPsym_26,SynII_loxPsym_27,SynII_SEG_0027,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000160,PRX1,84425.0,85210.0,84817.5,-,Unknown,SynII_loxPsym_27,SynII_loxPsym_28,SynII_SEG_0028,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000159,KIP1,85940.0,89275.0,87607.5,+,Unknown,SynII_loxPsym_27,SynII_loxPsym_28,SynII_SEG_0028,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000158,YBL062W,89396.0,89776.0,89586.0,+,Unknown,SynII_loxPsym_28,SynII_loxPsym_29,SynII_SEG_0029,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000157,SKT5,89404.0,91494.0,90449.0,-,Unknown,SynII_loxPsym_28,SynII_loxPsym_29,SynII_SEG_0029,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000156,YEL1,92020.0,94083.0,93051.5,+,Unknown,SynII_loxPsym_28,SynII_loxPsym_29,SynII_SEG_0029,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000007488,CMC2,94281.0,94610.0,94445.5,-,Unknown,SynII_loxPsym_30,SynII_loxPsym_31,SynII_SEG_0031,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000154,SHP1,95439.0,96710.0,96074.5,+,Ambiguous,SynII_loxPsym_30,SynII_loxPsym_31,SynII_SEG_0031,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000153,PTH2,96871.0,97497.0,97184.0,-,Ambiguous,SynII_loxPsym_32,SynII_loxPsym_33,SynII_SEG_0033,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000152,PTC3,97832.0,99238.0,98535.0,+,Unknown,SynII_loxPsym_32,SynII_loxPsym_33,SynII_SEG_0033,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000151,YBL055C,99711.0,100967.0,100339.0,-,Unknown,SynII_loxPsym_34,SynII_loxPsym_35,SynII_SEG_0035,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000150,TOD6,101727.0,103304.0,102515.5,+,Unknown,SynII_loxPsym_34,SynII_loxPsym_35,SynII_SEG_0035,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000149,YBL053W,103507.0,103881.0,103694.0,+,Ambiguous,SynII_loxPsym_35,SynII_loxPsym_36,SynII_SEG_0036,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000148,SAS3,103551.0,106046.0,104798.5,-,Unknown,SynII_loxPsym_35,SynII_loxPsym_36,SynII_SEG_0036,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000147,PIN4,106959.0,108965.0,107962.0,-,Unknown,SynII_loxPsym_36,SynII_loxPsym_37,SynII_SEG_0037,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000146,SEC17,109331.0,110209.0,109770.0,+,Essential,SynII_loxPsym_36,SynII_loxPsym_37,SynII_SEG_0037,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000145,MOH1,110918.0,111334.0,111126.0,+,Ambiguous,SynII_loxPsym_36,SynII_loxPsym_37,SynII_SEG_0037,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000144,RRT1,111423.0,111734.0,111578.5,+,Unknown,SynII_loxPsym_37,SynII_loxPsym_38,SynII_SEG_0038,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000143,EDE1,112053.0,116198.0,114125.5,-,Unknown,SynII_loxPsym_38,SynII_loxPsym_39,SynII_SEG_0039,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000142,PSY4,116582.0,117907.0,117244.5,+,Unknown,SynII_loxPsym_38,SynII_loxPsym_39,SynII_SEG_0039,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000141,COR1,118369.0,119742.0,119055.5,-,Ambiguous,SynII_loxPsym_40,SynII_loxPsym_41,SynII_SEG_0041,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000140,YBL044W,120224.0,120592.0,120408.0,+,Unknown,SynII_loxPsym_40,SynII_loxPsym_41,SynII_SEG_0041,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000139,ECM13,120914.0,121687.0,121300.5,+,Unknown,SynII_loxPsym_40,SynII_loxPsym_41,SynII_SEG_0041,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000138,FUI1,122635.0,124554.0,123594.5,-,Unknown,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000137,PRE7,125541.0,126266.0,125903.5,+,Essential,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000136,ERD2,126406.0,127065.0,126735.5,-,Essential,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028517,YBL039W-B,127590.0,127769.0,127679.5,+,Unknown,SynII_loxPsym_42,SynII_loxPsym_43,SynII_SEG_0043,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000135,URA7,128220.0,129959.0,129089.5,-,Unknown,SynII_loxPsym_43,SynII_loxPsym_44,SynII_SEG_0044,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000028814,YBL039C-A,129179.0,129262.0,129220.5,-,Unknown,SynII_loxPsym_43,SynII_loxPsym_44,SynII_SEG_0044,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000134,MRPL16,130418.0,131116.0,130767.0,+,Ambiguous,SynII_loxPsym_43,SynII_loxPsym_44,SynII_SEG_0044,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000133,APL3,131474.0,134551.0,133012.5,+,Unknown,SynII_loxPsym_44,SynII_loxPsym_45,SynII_SEG_0045,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000132,YBL036C,134780.0,135553.0,135166.5,-,Unknown,SynII_loxPsym_46,SynII_loxPsym_47,SynII_SEG_0047,unique_flanking_anchors,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000131,POL12,135826.0,137943.0,136884.5,-,Essential,SynII_loxPsym_46,SynII_loxPsym_47,SynII_SEG_0047,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000130,STU1,138181.0,142722.0,140451.5,-,Essential,SynII_loxPsym_46,SynII_loxPsym_47,SynII_SEG_0047,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
SynII,S000000129,RIB1,143023.0,144060.0,143541.5,-,Ambiguous,SynII_loxPsym_47,SynII_loxPsym_48,SynII_SEG_0048,unique_exact,exact_adjacent_lox,True,CP013608,./outputs\revised_model\input_sources\CP013608.gb
